,Initial_Fitness
2093,5.552641482160253e-06
2094,-5.129873220161987e-06
2095,-4.127188182159935e-06
2096,-4.815187959025022e-06
2097,-5.144991664930372e-06
2098,7.222173192338798e-06
2099,-1.3330286975015096e-06
2100,-4.9480791575839045e-08
2101,-3.84948264752939e-06
2102,-9.53291306822138e-07
2103,-4.015147947483284e-06
2104,-1.9456232632684083e-07
2105,-2.1800921064530403e-06
2106,4.0339966670182787e-07
2107,-1.6643592974093005e-06
2108,-1.9405026457618562e-06
2109,9.474189639733064e-07
2110,-3.174225075278609e-06
2111,4.272180324976557e-06
2112,-7.687885247165151e-06
2113,-4.10156493536758e-06
2114,-6.433473175618858e-06
2115,-5.148824214535793e-06
2116,-2.673041371517555e-06
2117,1.5391345434284702e-06
2118,-3.199598944603664e-06
2119,-7.895081551646313e-07
2120,-1.0880092086513664e-06
2121,-6.861440895692062e-06
2122,-7.342572549921919e-06
2123,-6.9621599429301995e-06
2124,-1.0880092086513664e-06
2125,-2.972643480161684e-06
2126,-1.5398615278611921e-06
2127,-1.854015073326463e-06
2128,-2.760345329367493e-06
2129,-8.992336880312117e-06
2130,-1.332602858656463e-06
2131,2.8010882913775935e-07
2132,-1.0880092086513664e-06
2133,5.004293211887209e-06
2134,5.565015549576163e-07
2135,-3.322819197616632e-06
2136,-3.0880233977982313e-07
2137,-2.3781234901689395e-06
2138,7.328110514082599e-06
2139,3.04896502902223e-06
2140,4.312070338847206e-06
2141,1.2586975143498979e-06
2142,-5.197170972122265e-07
2143,-5.867925441532175e-07
2144,-1.0880092086513664e-06
2145,-1.0880092086513664e-06
2146,-8.44836575822063e-07
2147,-7.840781270056722e-07
2148,4.277325683392666e-06
2149,-4.477930907562127e-06
2150,9.923131671578656e-07
2151,-1.4836461372381182e-06
2152,-1.1186366447576343e-06
2153,-1.0973799947808502e-06
2154,-2.0640781530687724e-06
2155,8.842978149727364e-06
2156,-1.342646529559837e-06
2157,-2.5002073957489644e-06
2158,-1.2058700180564736e-06
2159,-1.0880092086513664e-06
2160,-7.80411328574117e-06
2161,-3.1667011451699655e-06
2162,-1.6629406117719632e-06
2163,1.1354677287908632e-05
2164,-2.978716989108057e-07
2165,-1.215132595820853e-06
2166,-4.524989597247469e-06
2167,-5.554545994590538e-07
2168,-1.0880092086513664e-06
2169,3.918314333344679e-07
2170,-2.7478901260344907e-06
2171,-3.6007011936249245e-06
2172,-1.885388310296176e-06
2173,-4.638060302530415e-06
2174,-1.9048004357905777e-06
2175,-3.1680492462562043e-06
2176,6.519339640448176e-06
2177,-4.5345803568577725e-07
2178,-5.2158996614767845e-06
2179,-4.310526959952497e-06
2180,-1.7830717845045014e-06
2181,3.104966334453552e-06
2182,-3.6166007315323043e-06
2183,-5.486542397119284e-06
2184,-4.764863727681503e-06
2185,-5.266294477371402e-06
2186,-3.9518344655966136e-06
2187,-6.129753847626458e-06
2188,-4.057594219636376e-07
