,Initial_Fitness
523,4.8138283508542e-06
524,5.553970959035659e-06
525,5.70404556644313e-06
526,6.041495415637849e-06
527,5.402631666994476e-06
528,7.963737571052695e-06
529,1.740437070307235e-05
530,7.997793906566559e-06
531,6.8676337416716976e-06
532,1.2930105120765028e-05
533,5.402631666994476e-06
534,6.270203064709169e-06
535,3.5813199448760373e-06
536,5.013699560373075e-06
537,6.922051378722637e-07
538,3.23389546294372e-06
539,1.6855554530869147e-05
540,3.7406482297175713e-06
541,5.234402148097255e-06
542,-3.2367443672160683e-06
543,-4.433441146839827e-07
544,3.5234437284092544e-06
545,3.0409518989533783e-06
546,-2.3043831674845002e-06
547,1.2185292371657374e-05
548,1.3922767224697332e-05
549,5.402631666994476e-06
550,2.900400825076708e-06
551,2.5950337228686953e-06
552,3.553190400648689e-06
553,5.841636257529066e-06
554,6.790454662025014e-06
555,8.528551814540088e-06
556,9.417321093816898e-06
557,5.473992654024812e-06
558,5.1818304234418725e-06
559,9.971211408734784e-07
560,2.92798864854223e-06
561,5.402631666994476e-06
562,5.402631666994476e-06
563,5.402631666994476e-06
564,1.164169207827889e-05
565,5.402631666994476e-06
566,3.293112925620804e-06
567,5.399850518745452e-06
568,1.4124830764285094e-06
569,1.3653185165496517e-06
570,4.11952311631974e-06
571,5.402631666994476e-06
572,5.360574287270171e-06
573,-5.800305987879759e-07
574,6.012826159217022e-06
575,1.1253289641009225e-05
576,1.0256493091207501e-05
577,8.678080684049035e-06
578,7.916192447838583e-06
579,-1.2784682706235035e-06
580,4.828656376196402e-06
581,8.575631778568964e-06
582,5.402631666994476e-06
583,1.4153994200194334e-05
584,5.715909191857901e-06
585,5.0792949135434685e-06
586,5.402631666994476e-06
587,5.5609771747091286e-06
588,5.331099479695824e-06
589,5.402631666994476e-06
590,5.402631666994476e-06
591,3.4364491648831956e-06
592,5.794362998980039e-06
593,5.402631666994476e-06
594,2.409374264921957e-06
595,3.692478798459996e-06
596,5.402631666994476e-06
597,2.385014671775559e-06
598,8.499203118384091e-07
599,4.653694514859147e-06
600,4.2191888649824375e-06
601,1.365123213461151e-06
602,1.611002996895342e-06
603,3.6887934432290286e-06
604,5.402631666994476e-06
605,3.5930023271807507e-06
606,4.799904532493942e-06
607,5.402631666994476e-06
608,4.498398002921908e-06
609,1.1557037606636803e-05
610,7.89409035929452e-06
611,4.901807700075488e-06
612,5.286973872752636e-06
613,-1.48942456613845e-07
614,5.4669763955096e-06
615,5.197214229524345e-06
616,4.929399540677707e-06
617,5.402631666994476e-06
618,5.402631666994476e-06
619,6.995876116631845e-06
620,1.1360570953064115e-06
621,4.867576147156612e-06
622,1.2181159934356307e-05
623,5.402631666994476e-06
624,3.6993077881601047e-06
625,4.827939438029562e-06
626,4.886443979676506e-06
627,3.519220669553158e-06
628,1.1626324340743211e-05
629,9.883728247570256e-06
630,5.526113279473397e-06
631,4.727830624433462e-06
632,8.433826062900324e-06
633,1.0722723018987498e-05
634,5.574373332286001e-06
635,1.0578575202866541e-05
636,5.280773208232686e-06
637,4.542165140781677e-06
638,5.711235033795007e-06
639,8.778102893226804e-06
640,5.343861286387492e-06
641,9.780920873006763e-06
642,3.2051335763995152e-06
643,1.5228383874272964e-06
644,4.477369313059756e-06
645,7.086999100322275e-06
646,5.310882366692236e-06
647,7.4980513726028745e-06
648,1.4597523178408383e-06
649,5.726606788467384e-06
650,6.119502140689888e-06
651,5.222272683722441e-06
652,-1.741627578775747e-09
653,1.2691690686484501e-05
654,8.901224028053956e-06
655,7.622151267420213e-06
656,1.3893648877638058e-05
657,1.2559944199403443e-05
658,2.4958230905494923e-06
659,5.342967122247293e-06
660,4.0778242056788535e-06
661,5.402631666994476e-06
662,5.402631666994476e-06
663,-3.487150103042955e-07
664,4.8969603331759295e-06
665,3.5068193405132565e-06
666,2.585687415311256e-06
667,9.14781271538159e-06
668,5.402631666994476e-06
669,4.393254553611145e-06
670,6.739574618389958e-06
671,7.69458565313246e-06
672,9.261762760056317e-06
673,8.292733268261829e-06
674,3.4192850647937203e-06
675,8.792930918569005e-06
676,5.745655864097336e-06
677,1.1783409180960848e-05
678,8.774776007079256e-06
679,5.402631666994476e-06
680,5.402631666994476e-06
681,2.344308581103297e-06
682,5.402631666994476e-06
683,1.1787407916425284e-06
684,2.2416784325131675e-06
685,6.950763715425079e-06
686,5.651479867492794e-06
687,3.913012194484209e-06
688,1.8277543904285115e-06
689,5.024115249475727e-06
690,1.8592974252217405e-06
691,5.711774745988484e-06
692,5.6654036858530525e-06
693,5.402631666994476e-06
694,1.2424157905144697e-05
695,2.7308240342641395e-06
696,3.702278213792582e-06
697,5.402631666994476e-06
698,5.35751926578771e-06
699,8.487745059471052e-06
700,6.069355103768459e-06
701,1.0653790736827814e-05
702,2.532215500810628e-06
703,2.164213428222955e-06
704,2.963303642984759e-06
705,1.8908404600149696e-06
706,6.54762186579989e-06
707,8.561973799168747e-06
708,7.284524192252133e-06
709,9.145835109717737e-06
710,3.743072917451525e-06
711,7.337275151449225e-06
712,6.887133916508445e-06
713,9.276232316315098e-06
714,4.5223931012798414e-06
715,9.965686166813303e-06
716,2.1905961597382858e-07
717,4.721722590036889e-06
718,6.265621536769652e-06
719,1.211681721440953e-05
720,5.402631666994476e-06
721,4.821108439761106e-06
722,1.0348067174104729e-05
723,2.164213428222955e-06
724,9.67020709292456e-06
725,7.586834264409335e-06
726,5.402631666994476e-06
