,Initial_Fitness
110,3.1231933549955443e-06
111,3.1803494331557955e-06
112,8.850494115911652e-07
113,3.444141984567067e-07
114,2.49357355147516e-06
115,1.7371584596094572e-06
116,1.4670051761092563e-06
117,-9.15107442991836e-06
118,3.078261028581418e-06
119,2.37301982914225e-06
120,3.1803494331557955e-06
121,2.0586613992608693e-06
122,3.1803494331557955e-06
123,6.763744164262775e-06
124,3.1803494331557955e-06
125,1.3942219906479513e-06
126,-1.184455461322019e-05
127,-4.7786344506591565e-06
128,3.0660372768352936e-06
129,3.40396376967607e-06
130,6.516473571966033e-06
131,2.129148016137374e-06
132,6.503666370070223e-06
133,3.1803494331557955e-06
134,8.095633001317181e-06
135,1.8594762611806066e-06
136,4.838977288600673e-06
137,8.655282676656296e-07
138,4.286688045080597e-06
139,3.1803494331557955e-06
140,2.682155287164277e-06
141,3.137806444406603e-06
142,1.4942451274283907e-06
143,1.4382187175535655e-06
144,4.365333189617128e-06
145,4.424864254743662e-06
146,2.086854633231283e-06
147,3.1803494331557955e-06
148,9.141676136068555e-06
149,2.9390891060805965e-06
150,1.7676580366002605e-06
151,2.4516094366125953e-06
152,2.417914923542428e-06
153,7.166800346673037e-06
154,-9.758357760371028e-06
155,3.1032044113157533e-06
156,3.1803494331557955e-06
157,1.4525084840970965e-05
158,-1.3395326923060979e-06
159,3.080219798506044e-06
160,3.6135203874471438e-06
161,3.1803494331557955e-06
162,1.6897701071837256e-05
163,2.9715102209820776e-06
164,2.5205495462525444e-06
165,1.7953840927258891e-06
166,2.3868874334681238e-06
167,3.0045102097701857e-06
168,-2.5352583828693054e-06
169,3.1803494331557955e-06
170,1.4355053100176366e-06
171,2.4730429659226893e-06
172,-2.5566919121793985e-06
173,2.7906564452126786e-06
174,-6.993432479368883e-06
175,6.3771814228067195e-06
176,-5.427344830364769e-06
177,3.3958607790822296e-06
178,4.24297815603203e-06
179,1.9651437850345885e-06
180,1.638149340719013e-06
181,8.692596474451401e-07
182,1.0036702581600691e-05
183,7.098938944515387e-06
184,-7.529270712121238e-06
185,-4.652431764989644e-06
186,1.5502852660923945e-06
187,1.465667088348265e-06
188,2.644511200403442e-06
189,-4.061944713999558e-07
190,3.5240863023592e-06
191,1.486257787229981e-06
192,1.9372047331703358e-06
193,-6.507605815006751e-06
194,2.6168681389223568e-06
195,8.659588354059377e-07
196,6.095688404356308e-06
197,9.169517842589613e-06
198,-1.4299893259006844e-06
199,3.1803494331557955e-06
200,2.8239661531731318e-06
201,-9.187098167324217e-06
202,3.4519564548124193e-06
203,3.0528315410405896e-06
204,-1.8636744644863567e-06
205,3.065212751459153e-06
206,3.6615411520713217e-06
207,2.2787567298307845e-06
208,3.123359966194102e-06
209,1.66508518947547e-05
210,2.8731355130444464e-06
211,3.3361762096368438e-06
212,1.5572677409269276e-06
213,3.1803494331557955e-06
214,3.1803494331557955e-06
215,-1.0748983710484183e-06
216,2.5462475665981825e-06
217,1.922498874679144e-06
218,7.984149281018569e-06
219,2.66696332386659e-06
220,2.8620460058468066e-06
221,2.6063392005591064e-06
222,3.1803494331557955e-06
223,2.6734178856176226e-06
224,1.586739611851931e-05
225,5.1790846996308165e-06
226,3.158915903845701e-06
227,1.5980603792270588e-06
228,3.1803494331557955e-06
229,1.5601477596614144e-06
230,-1.039421912990382e-05
231,4.569912487018361e-06
232,1.023527223568985e-05
233,2.7427885629978794e-06
234,5.341098126967561e-06
235,3.5420752897468306e-06
236,3.1803494331557955e-06
237,1.954271849838633e-06
238,4.107223317875315e-06
239,6.457840874334061e-06
240,3.4853870113408356e-06
241,-1.4993044662147564e-06
242,3.1803494331557955e-06
243,2.3135717586602584e-06
244,3.858392489552837e-06
245,3.6854287086386542e-06
246,2.758823356723944e-06
247,2.4283099064580088e-06
248,-2.992507008151314e-06
249,2.0415478980525056e-06
250,1.5279040909760518e-07
251,5.904991061979598e-06
252,-8.915731598984573e-06
253,3.412232749558997e-06
254,-3.3116532658886796e-06
255,2.4423859302594476e-06
256,2.09636102308789e-06
257,6.375898872111916e-06
258,1.8808496771614557e-06
259,3.1446268843056383e-06
260,3.0255732846692174e-06
261,3.1803494331557955e-06
262,1.1941757170870727e-06
263,1.2539478574400601e-06
264,4.1793629398576874e-06
265,2.011052897324762e-06
266,2.915683078056698e-06
267,1.4526606195030076e-06
268,2.9584636683068392e-05
269,1.081233682368979e-06
270,1.2977825494101766e-06
271,2.5270550688067027e-06
272,1.8570731947264948e-06
273,-4.205726428769539e-06
274,2.930291591204697e-06
275,2.6730892394835676e-06
276,2.867380051838532e-06
277,-2.0390943818261057e-08
278,1.4359221489687653e-06
279,1.702769422257232e-06
280,3.173204923385764e-06
281,2.1443955165012457e-06
282,2.9888876787321917e-06
283,2.4133818997020736e-06
284,-5.557386015592578e-06
285,1.0069980877629199e-05
286,2.6179611971033066e-06
287,3.1660604136157327e-06
288,2.1943280446005116e-06
289,1.7053390999099017e-06
290,2.819498440834555e-06
291,3.1803494331557955e-06
292,3.1803494331557955e-06
293,1.7887720723024186e-06
294,2.758503863116008e-06
295,2.5604300882689333e-06
296,4.319965719199635e-06
297,2.6499563205275393e-06
298,1.0087691557776427e-05
299,2.8243509582828457e-06
300,2.2402142755753856e-06
301,2.796198910679969e-06
302,3.5721325657086386e-05
303,4.9036809866929056e-06
304,2.394453358452344e-06
305,-1.6707727006955092e-06
306,1.95863826248043e-06
307,3.7594245570299286e-06
308,2.7192623083154914e-06
309,2.841663104531184e-06
310,1.6800023814492064e-06
311,4.453233874348223e-06
312,2.8139559753672647e-06
313,2.70454729729818e-06
314,3.331398156216449e-06
315,3.1803494331557955e-06
316,3.1803494331557955e-06
317,-8.8867275684272e-06
318,3.1803494331557955e-06
319,8.481889977954484e-06
320,1.8456596176578593e-06
321,3.1803494331557955e-06
322,3.809876467596046e-06
323,2.1059549838521004e-06
324,2.490480537002049e-06
325,2.3344218378206656e-06
326,2.1940875912835293e-06
327,3.0258372412109677e-06
328,1.300711987819728e-05
329,3.4092514311277286e-06
330,2.6888182683908737e-06
331,2.153781057789891e-06
332,2.4230313975324697e-06
333,3.1803494331557955e-06
334,2.8080894400289788e-06
335,1.0213834130116695e-05
336,2.8318704987269993e-06
337,1.8962219804468783e-06
338,2.9731586498248856e-06
339,3.1803494331557955e-06
340,3.1803494331557955e-06
341,7.643773959093084e-06
342,3.047483766259686e-06
