,Initial_Fitness
111,2.319359181667788e-08
112,-7.106561397297931e-07
113,-1.0172698160144825e-06
114,8.16822988354525e-08
115,-1.7098241616803693e-06
116,-2.2211200765104095e-06
117,3.7898576249270436e-07
118,9.502679303730532e-07
119,-3.1386528359105687e-07
120,2.319359181667788e-08
121,-1.4240912736400071e-06
122,2.319359181667788e-08
123,4.97959516535675e-08
124,2.319359181667788e-08
125,-4.3130613520501895e-09
126,-5.440867362854597e-06
127,-1.2584580278599144e-06
128,-6.199703411691062e-07
129,2.6089228497060995e-07
130,1.3067947560546662e-06
131,-1.2393715601330247e-06
132,-6.137825049004439e-07
133,2.319359181667788e-08
134,9.869434679313572e-07
135,3.7577875214087367e-07
136,2.1499646072227953e-06
137,-1.0079596033870456e-06
138,-4.433686343201947e-08
139,2.319359181667788e-08
140,4.332766240447681e-06
141,2.9047515990543194e-06
142,-1.7763374535838126e-06
143,-2.4999398536010873e-07
144,4.019215880810535e-06
145,2.3277477114453527e-06
146,-4.6654349994022603e-07
147,2.319359181667788e-08
148,2.34107017948111e-06
149,-3.1147771037392305e-07
150,1.9441380691725403e-06
151,1.1191364225253387e-06
152,3.1316477156430534e-07
153,5.221540359254565e-06
154,-9.105632318408747e-07
155,2.1150179822248045e-07
156,2.319359181667788e-08
157,2.004138440233029e-06
158,8.173685567938474e-07
159,5.079293527043123e-07
160,3.7016108376664973e-06
161,2.319359181667788e-08
162,1.85511938090161e-06
163,1.6125184051537564e-06
164,2.633259442255677e-06
165,-1.5964775945721804e-06
166,2.191952220010399e-06
167,2.5232187115705843e-06
168,-3.914876918953435e-06
169,2.319359181667788e-08
170,-7.499452868041762e-07
171,-7.109844105726417e-06
172,-1.7434622531450644e-06
173,1.1438457839095841e-06
174,-1.8716147163103641e-06
175,1.9220326407076902e-07
176,-1.7748257895420994e-06
177,1.1376013274641442e-06
178,2.022363190862708e-06
179,2.7963214325502314e-06
180,-2.3261172704317456e-06
181,-2.996222765838895e-06
182,4.533012312939153e-06
183,-9.463628602237591e-07
184,-2.084702948219343e-06
185,-8.055378018991763e-07
186,4.946798838073551e-06
187,-8.212760791724301e-07
188,-7.968068720973106e-07
189,-2.4600448760626123e-08
190,-8.505911708687749e-07
191,1.3764019660924418e-06
192,-3.7065780255569322e-06
193,-6.477969708863811e-08
194,1.228693301841466e-08
195,-3.984809139497475e-06
196,2.885825463397129e-07
197,8.30055195895283e-07
198,-1.3640998990018079e-05
199,2.319359181667788e-08
200,-2.1306417548249771e-07
201,-7.691806896106083e-06
202,5.932503137818535e-06
203,-9.223881538451e-07
204,-9.445968497947108e-07
205,5.257443847666433e-07
206,2.116863444553132e-06
207,2.7295256323071207e-06
208,9.673624254399781e-07
209,2.0142821339373163e-06
210,-6.079900469848671e-07
211,-4.5988699731437054e-06
212,-9.378296566324498e-07
213,2.319359181667788e-08
214,2.319359181667788e-08
215,2.2284633754042567e-07
216,-3.3821493172099115e-06
217,-5.358728737759344e-06
218,-1.6588656129178317e-06
219,-4.7047097321943584e-07
220,1.807198204164652e-06
221,2.1281938658608962e-06
222,2.319359181667788e-08
223,6.259375965491441e-06
224,8.265374411834233e-07
225,-9.302855285020886e-07
226,2.319359181667788e-08
227,-2.5164174494975152e-06
228,2.319359181667788e-08
229,-5.822852322936221e-06
230,-1.223378936472436e-06
231,7.58978749914364e-07
232,1.7745208040044882e-06
233,1.3982574895834548e-06
234,2.640709852340526e-07
235,2.2194871091994884e-06
