,Initial_Fitness
104,6.207244566026273e-06
105,-2.0744048727712674e-06
106,1.0343848832890215e-05
107,6.2387858179593216e-06
108,-6.091232895641803e-06
109,-1.426690610563954e-06
110,-1.4901044154979221e-06
111,-1.426690610563954e-06
112,-3.226421380379746e-06
113,-2.8025904233246154e-06
114,-1.922518053028692e-06
115,-2.032979980059484e-06
116,-3.1900934440652026e-06
117,6.125960238964211e-06
118,2.421976457641536e-06
119,-1.5249747709901736e-06
120,-1.426690610563954e-06
121,-1.9175821706846093e-06
122,-1.426690610563954e-06
123,5.544023433655183e-06
124,-1.426690610563954e-06
125,-1.6644532239365361e-06
126,3.299661423791997e-06
127,2.3308352110045237e-06
128,-1.4861013254996532e-06
129,-1.6663054480262696e-06
130,5.3281802063663024e-06
131,-5.108812655850838e-06
132,3.334870257015102e-06
133,-1.426690610563954e-06
134,-5.140761543620095e-07
135,-3.581892258577574e-06
136,3.550417811507824e-06
137,-1.1071898923026346e-06
138,-8.143168113001023e-07
139,-1.475831948521403e-06
140,-4.275439538341634e-06
141,-4.048474059446423e-06
142,-2.79551555116257e-06
143,-3.776725139947422e-06
144,-4.049693617520466e-06
145,-6.539769739727505e-06
146,8.151467858445294e-06
147,-1.426690610563954e-06
148,-7.810237902599282e-07
149,-2.5119775702811527e-06
150,-6.1572011168196775e-06
151,-3.006292750898332e-06
152,-3.3181982620550924e-06
153,-5.449959355069523e-06
154,7.427996497112315e-06
155,-3.2641861143580788e-06
156,-1.426690610563954e-06
157,-4.4475680784873705e-07
158,6.681814732755803e-06
159,-1.5338501552393285e-06
160,-3.6867383787799343e-06
161,-1.426690610563954e-06
162,1.1904259075668011e-06
163,-2.354111229286825e-06
164,-4.062396172601516e-06
165,-3.0734775611276065e-06
166,-4.093439357261872e-06
167,-3.7464299213985763e-06
168,-2.3950749216153276e-06
169,-1.426690610563954e-06
170,2.989327309042026e-06
171,-2.005827554324219e-06
172,7.232750287754603e-07
173,-2.837401644257635e-06
174,6.2653780728400215e-06
175,3.0198989017398513e-06
176,4.562144311965233e-06
177,-3.462955528610355e-06
178,-4.038206166979494e-06
179,-4.727052618125075e-06
180,-6.4066196773429974e-06
181,-7.687658950173963e-06
182,9.032804076261273e-06
183,1.9503951863354082e-06
184,5.427191795639162e-06
185,4.066265157497872e-06
186,-5.392870971674769e-06
187,-1.7877374596781633e-06
188,-2.51679369899545e-06
189,-2.7856541780536556e-06
190,9.66549048282395e-06
191,-2.6665474669653493e-06
192,-2.603299189618504e-06
193,4.806226408831742e-06
194,-1.4334418501083636e-06
195,-2.8230774652784917e-06
196,8.143922878832033e-06
197,2.3349964060333087e-06
198,-3.902905238686452e-06
199,-1.426690610563954e-06
200,-1.1770149745388381e-06
201,-3.601291372177766e-06
202,-7.0547404589083255e-06
203,-1.4588573518497124e-06
204,-2.202221440521606e-06
205,2.4418691849804515e-06
206,-3.202685152584397e-06
207,-4.855796040175942e-06
208,-4.007049166734638e-06
209,4.9844466775482665e-06
210,-1.5039127130685167e-06
211,-4.694276963004771e-06
212,-1.7018705731160863e-06
213,-1.426690610563954e-06
214,-1.426690610563954e-06
215,1.006750906075002e-06
216,-2.3083920273145785e-06
217,-2.5187656767149686e-06
218,1.0622042927558214e-05
219,-4.1575509008160485e-06
220,-3.3854407223322774e-06
221,-3.7004254382094225e-06
222,-1.426690610563954e-06
223,-2.6152582321220086e-06
224,6.96634030914778e-07
225,5.848992255418615e-08
226,-1.25182443620547e-06
227,-2.0128477454609976e-06
228,-1.426690610563954e-06
229,-6.310891417672005e-06
230,3.7899147478847976e-07
231,-2.9411420219704503e-06
232,3.6336756008007287e-06
233,-3.0463444340395242e-06
234,-3.982743861016796e-06
235,7.79129008982956e-07
236,-1.426690610563954e-06
237,-2.4754930134474166e-06
238,-1.8128011230867675e-06
239,4.094335530465733e-06
240,-2.2536880790426428e-06
241,1.0047715057988761e-06
242,-1.4269226952669163e-06
243,-3.575914221837144e-06
