,Initial_Fitness
147,-1.4842948146888929e-07
148,-8.043177902023045e-07
149,-6.325613282824845e-07
150,-2.0557926642233156e-07
151,1.3558295843320223e-06
152,-1.4687287212878052e-06
153,4.307210771318321e-06
154,5.21760611094061e-06
155,-2.541845878536913e-06
156,-1.4842948146888929e-07
157,-8.095930185285817e-07
158,-3.4000689026240597e-07
159,1.9523208863630642e-06
160,1.2330273888038196e-05
161,-1.4842948146888929e-07
162,-1.542640338649119e-06
163,-1.7361851750370311e-06
164,-2.388295800253164e-06
165,-9.962956297207478e-07
166,6.66936869007298e-07
167,9.820766220064463e-08
168,-8.222261121332811e-07
169,-1.4842948146888929e-07
170,-2.5757462793143873e-06
171,-1.6479747163234763e-06
172,-8.090280030068691e-07
173,-2.367862574286716e-07
174,7.563596511626706e-07
175,2.527393136762465e-06
176,1.196854342334009e-06
177,2.599655464855919e-06
178,-2.850677919567779e-07
179,-4.918912207986145e-07
180,3.659210617354805e-06
181,5.534594766831757e-06
182,4.316848775305032e-06
183,3.712721320114799e-07
184,4.690493335803912e-07
185,-2.2971361351742478e-07
186,2.9820495742359754e-06
187,1.3125069488745392e-06
188,-1.3838662165490098e-06
189,-1.378324034406115e-06
190,-9.060043431259268e-07
191,3.655131253990667e-06
192,9.176662163788879e-07
193,4.6089422499387587e-07
194,1.6358185717369966e-06
195,-1.744137354654764e-06
196,-3.307279596146252e-06
197,1.0437394208054234e-06
198,-1.3743945761502532e-05
199,-1.4842948146888929e-07
200,-2.856031519353576e-06
201,6.281122951894375e-07
202,-2.799861830055572e-06
203,-6.899052576480707e-06
204,6.041078068608923e-07
205,-2.198263502636798e-06
206,-8.780300967365968e-07
207,1.0942169925725448e-06
208,4.752918172241875e-07
209,-7.882562592953339e-07
210,-5.660057671287121e-07
211,2.5135911883034754e-07
212,-1.5191751851664497e-06
213,-1.4842948146888929e-07
214,-1.4842948146888929e-07
215,9.360225354029465e-07
216,7.681113999900033e-07
217,-3.814929590023312e-06
218,-6.010526574292903e-07
219,-1.6653162136618601e-06
220,-2.8743091641210016e-06
221,2.911880914361705e-06
222,-1.4842948146888929e-07
223,9.39205789321895e-06
224,8.949464842058295e-09
225,-1.1405404917531164e-06
226,-1.4842948146888929e-07
227,-1.0482067214490292e-06
228,-1.4842948146888929e-07
229,1.6810739087586354e-06
230,2.908602412447421e-06
231,-2.534072933124765e-06
232,-2.042168140899022e-06
233,-4.239710187431811e-06
234,-4.271467544551064e-06
235,-3.8572355947242405e-06
236,-1.4842948146888929e-07
237,-3.0115819421910767e-06
238,-1.3359339282359137e-06
239,3.125780605256547e-06
240,-3.296827890371769e-06
241,5.790597533458747e-06
242,-1.5006050318619235e-07
243,-2.581212075910408e-07
244,-1.3748773295532842e-06
245,-2.452741537505191e-07
246,-5.03877006483208e-07
247,-2.1726846043135056e-06
248,-1.700313854478758e-07
249,-3.593474027225286e-08
250,-3.3782637668791723e-06
251,6.182055283152285e-07
252,-1.1401601376496296e-06
253,-1.756271266656464e-06
254,-1.0500205955136772e-06
255,2.1169553289326023e-06
256,6.072883118051687e-06
257,-2.8473808473058222e-06
258,6.020635140807431e-07
259,-3.7426015539664986e-07
260,-5.797524332971582e-07
261,-1.4842948146888929e-07
262,1.0622950506565054e-06
263,5.311894468501173e-06
264,4.480965465923898e-07
265,-2.4027080418922735e-06
266,6.640092964235479e-08
267,2.6712558356204666e-06
268,-1.0050669383388907e-06
269,-1.1078176883872264e-06
270,-1.5132636801871053e-06
271,1.5451633895183671e-06
272,6.564255811715074e-06
273,-6.4114740248142826e-06
274,-3.901274990162304e-06
275,4.2665922741018977e-07
276,-1.2107274191779455e-06
277,-3.304547968158475e-07
278,4.7000013041823194e-07
279,-2.1639517061774347e-08
280,-1.4842948146888929e-07
281,1.0226678063179127e-06
282,-1.1735137904559495e-06
283,-1.3945830670692304e-06
284,-1.7021659467600472e-06
285,-1.7908079440870054e-06
286,-2.2350620512250686e-06
287,-1.4842948146888929e-07
288,-2.176893826444192e-06
289,8.326914801279895e-06
290,-4.239046421032026e-06
291,-1.4842948146888929e-07
292,-1.4842948146888929e-07
293,-2.2851410013381435e-06
294,-9.97495112824647e-07
