369,144.333,212.5,34.5,20.5,11,5,6,21,9.5
336.667,125.333,47,55.5,49.5,29.5,12,12,11,4.5
327.667,134.667,71,70,51,51.5,1,7.5,14.5,4.5
661.333,808.333,977,1360.5,1535,1577,958,1858.5,2557.5,685.5
202.667,57.3333,30.5,19,21.5,11.5,13,5.5,10.5,4
0,0,0,0,0,0,0,0,0,0
261,27,230,12,9.5,6,3,4.5,4,3
73.3333,31.6667,7.5,2.5,1.5,0.5,0,0,1.5,6.5
1180.67,1524,1671,2400.5,2525,2470.5,1509,1617.5,1211,168
1645.67,1407.33,1025,787,598,448.5,132,143.5,76,19
1464.33,1794.67,1657.5,2660.5,2731,2431.5,1398,1613,1320.5,176
220.333,65.3333,14.5,12.5,18.5,11.5,9,8.5,9.5,3.5
332.333,116,69.5,41,34,12,8,10,8,3.5
0,0,0,0.5,0,0,0,0,0,0
519.333,247.333,438.5,169,85.5,61,19,16.5,14.5,7
93.6667,22,32,8,7,5,3,3,2.5,0.5
162.667,30,98,8,9,7,6,4,4,3
0,0,0,0,0,0,0,0,0,0
735.667,774.667,786.5,1051,1054,920,374,461.5,367,46.5
148,36.6667,13,6.5,5.5,4,6,2.5,6,0.5
354.667,93.6667,43.5,16,14.5,8.5,5,7,10,7.5
0,0,0,0,0,0,0,0,0,0
218.667,79.6667,30,14,17,12.5,5,6,11,13
359.667,115.333,40,11.5,12,8,8,10.5,7,7
1376,2000.33,2890,4354.5,4870.5,5231.5,3647,3965.5,3889,737
75.3333,9.66667,4,4.5,6.5,4,4,1.5,4,6.5
3241,3656.67,5005.5,4980.5,5113.5,5228,2795,3031,3082.5,552.5
2908.33,3032.33,3531,3863,4017,4015,2074,2089,2091.5,435
518,118,62,21,24.5,12,4,4.5,15.5,7.5
0,0,0,0,0,0,0,0,0,0
9,1.33333,2,0.5,2,0.5,1,0.5,1,0
0,0,0,0,0,0,0,0,0,0
801.667,491.333,465.5,322.5,250.5,186.5,59,60,46.5,13
451.667,102.333,247,7,11.5,7,4,7,9.5,5
330.333,231,221,286.5,203,164.5,65,64.5,108.5,27
125.333,14.6667,37,5.5,4,2,0,2,2,1
401.333,114.333,109,19,14,4,2,1.5,3.5,1.5
1371.33,1698.67,2293.5,2662,2566,2492.5,1598,1464.5,1034,182.5
