621,896,801,1803,785,1052,1136,727,1115
624,1057,819,1748,804,1048,1064,744,1069
460,672,466,484,492,275,452,330,519
1025,986,712,845,469,421,521,394,429
667,998,948,2036,548,1235,1186,816,983
986,1093,1557,2763,472,1582,1492,1417,572
833,875,914,1458,1078,896,1039,905,873
0,0,0,0,0,0,0,0,0
449,416,265,419,361,223,177,110,121
206,170,202,368,101,248,235,233,170
816,885,1182,1423,877,763,622,405,642
402,610,571,551,154,367,565,428,147
508,405,288,519,94,411,403,422,313
907,1497,1256,2963,817,1490,1854,1176,1336
460,1112,1402,1251,597,618,779,562,369
442,211,375,580,29,225,77,122,44
1,1,0,0,0,0,0,0,0
639,623,415,645,359,282,268,138,182
549,578,714,1037,724,604,505,337,486
653,952,498,338,292,112,105,64,52
1012,2523,2252,4308,1428,1867,2383,1477,1842
0,0,0,0,0,0,0,0,0
685,590,472,1050,772,451,511,278,421
199,37,406,548,3,398,52,170,8
556,353,588,1307,94,881,568,760,297
706,675,417,597,316,360,393,247,389
545,688,861,1530,97,848,895,538,233
681,772,590,1310,683,824,955,571,1008
363,320,362,596,94,233,306,231,166
0,0,0,0,0,0,0,0,0
937,748,687,921,126,600,483,428,164
717,613,604,576,350,417,590,509,447
390,351,297,215,96,119,177,179,106
498,534,451,588,234,308,314,216,212
295,425,439,541,611,321,468,445,434
1103,1509,1320,2056,1552,1217,1346,1009,1458
435,628,755,834,977,673,892,784,1217
453,807,582,1254,928,774,732,431,936
568,605,600,1535,187,830,866,600,509
854,894,878,1299,243,758,849,657,346
1151,1690,1372,1878,779,1238,1599,1183,1255
1410,2186,2159,3948,2182,2123,2698,1934,3612
1381,2016,1660,2489,1081,1181,1360,976,864
778,909,591,1029,834,598,665,511,596
399,506,504,599,451,371,505,351,451
295,313,445,441,116,354,355,320,71
783,1211,1802,3055,431,1947,1719,1346,1041
250,439,393,319,159,127,136,68,94
242,124,115,44,1,21,11,10,1
246,129,450,221,5,185,69,64,7
1351,1390,1281,1961,1042,1095,1323,1043,770
627,1117,848,1467,784,1446,1365,1615,1563
637,817,544,365,323,305,483,523,1119
409,516,495,592,382,353,532,374,337
782,1057,1324,2283,994,1737,2284,2445,2017
1148,1073,621,539,309,247,240,189,214
830,548,511,865,89,447,497,428,164
1033,1264,903,1498,1025,834,1000,799,931
1601,205,81,29,5,17,6,11,8
0,0,0,0,0,0,0,0,0
1529,1363,1087,1701,894,1082,1086,824,824
1683,1927,1526,2158,1840,1263,1601,1515,2889
