Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7
-0.003847062523788518,-58.644839134993546,,342,239,63,10,19,6,4,3
-0.003372599133961908,-58.24823852098425,,310,219,53,9,12,3,12,3
0.012215384689376902,-467.0443419676608,,1241,1278,2274,3893,5034,3618,5657,3833
-0.0003305377393474536,-48.92817805677157,,101,77,4,3,9,2,0,2
0.009795716317839761,-394.2323072647994,,2926,2844,4003,5002,5641,4120,4600,3084
0.00939010043786407,-203.37266847820175,,2860,2753,3370,3761,4404,3150,3012,1913
-0.02349458541200468,-75.15458686772627,,854,373,33,13,14,1,1,2
-0.0036445277252603082,-3.2749792230925547,,1,0,0,0,0,0,0,0
-0.0175006008181898,-12.231741533297845,,11,5,0,0,0,0,0,0
-0.0036445277252603082,-3.2749792230925547,,1,0,0,0,0,0,0,0
0.00041312016562658135,-35.49985855114919,,970,752,395,310,250,103,74,24
-0.008868155954616534,-62.997747810786905,,226,140,10,3,10,1,2,2
0.005270181601370091,-38.53796067625457,,441,384,259,260,181,98,83,72
-0.021050332804931488,-26.28076660659827,,98,45,2,0,1,0,1,0
-0.03888220776177881,-32.253611090732605,,287,86,3,2,2,0,0,0
0.010857144715416385,-199.8276296229277,,1328,1324,2199,2712,2645,1634,2022,936
