Strain	Polynomial	Condition	Data
YGR209C	non_significant	Nlim	Excluded
YGR221C	non_significant	Nlim	Excluded
YGR225W	non_significant	Nlim	Excluded
YGR226C	non_significant	Nlim	Excluded
YGR230W	non_significant	Nlim	Excluded
YGR234W	non_significant	Nlim	Excluded
YGR242W	non_significant	Nlim	Excluded
YGR244C	non_significant	Nlim	Excluded
YGR248W	non_significant	Nlim	Excluded
YGR249W	non_significant	Nlim	Excluded
YGR259C	non_significant	Nlim	Excluded
YGR273C	non_significant	Nlim	Excluded
YGR279C	non_significant	Nlim	Excluded
YHL002W	non_significant	Nlim	Excluded
YHL003C	non_significant	Nlim	Excluded
YHL008C	non_significant	Nlim	Excluded
YHL009C	non_significant	Nlim	Excluded
YHL014C	non_significant	Nlim	Excluded
YHL024W	non_significant	Nlim	Excluded
YHL030W	non_significant	Nlim	Excluded
YHL034C	non_significant	Nlim	Excluded
YHL042W	non_significant	Nlim	Excluded
YHL044W	non_significant	Nlim	Excluded
YHL047C	non_significant	Nlim	Excluded
YHR006W	non_significant	Nlim	Excluded
YHR016C	non_significant	Nlim	Excluded
YHR034C	non_significant	Nlim	Excluded
YHR037W	non_significant	Nlim	Excluded
YHR043C	non_significant	Nlim	Excluded
YHR066W	non_significant	Nlim	Excluded
YHR077C	non_significant	Nlim	Excluded
YHR078W	non_significant	Nlim	Excluded
YHR079C.B	non_significant	Nlim	Excluded
YHR093W	non_significant	Nlim	Excluded
YHR097C	non_significant	Nlim	Excluded
YHR104W	non_significant	Nlim	Excluded
YHR105W	non_significant	Nlim	Excluded
YHR113W	non_significant	Nlim	Excluded
YHR115C	non_significant	Nlim	Excluded
YHR117W	non_significant	Nlim	Excluded
YHR123W	non_significant	Nlim	Excluded
YHR125W	non_significant	Nlim	Excluded
YHR130C	non_significant	Nlim	Excluded
YHR132W.A	non_significant	Nlim	Excluded
YHR136C	non_significant	Nlim	Excluded
YHR137W	non_significant	Nlim	Excluded
YHR139C	non_significant	Nlim	Excluded
YHR139C.A	non_significant	Nlim	Excluded
YHR146W	non_significant	Nlim	Excluded
YHR150W	non_significant	Nlim	Excluded
YHR155W	non_significant	Nlim	Excluded
YHR156C	non_significant	Nlim	Excluded
YHR158C	non_significant	Nlim	Excluded
YHR162W	non_significant	Nlim	Excluded
YHR167W	non_significant	Nlim	Excluded
YHR184W	non_significant	Nlim	Excluded
YIL007C	non_significant	Nlim	Excluded
YIL009C.A	non_significant	Nlim	Excluded
YIL014W	non_significant	Nlim	Excluded
YIL016W	non_significant	Nlim	Excluded
YIL023C	non_significant	Nlim	Excluded
YIL037C	non_significant	Nlim	Excluded
YIL039W	non_significant	Nlim	Excluded
YIL043C	non_significant	Nlim	Excluded
YIL044C	non_significant	Nlim	Excluded
YIL050W	non_significant	Nlim	Excluded
YIL058W	non_significant	Nlim	Excluded
YIL060W	non_significant	Nlim	Excluded
YIL065C	non_significant	Nlim	Excluded
YIL071C	non_significant	Nlim	Excluded
YIL074C	non_significant	Nlim	Excluded
YIL077C	non_significant	Nlim	Excluded
YIL086C	non_significant	Nlim	Excluded
YIL103W	non_significant	Nlim	Excluded
YIL112W	non_significant	Nlim	Excluded
YIL113W	non_significant	Nlim	Excluded
YIL120W	non_significant	Nlim	Excluded
YIL124W	non_significant	Nlim	Excluded
YIL146C	non_significant	Nlim	Excluded
YIL148W	non_significant	Nlim	Excluded
YIL155C	non_significant	Nlim	Excluded
YIL158W	non_significant	Nlim	Excluded
YIL162W	non_significant	Nlim	Excluded
YIL166C	non_significant	Nlim	Excluded
YIL168W	non_significant	Nlim	Excluded
YIL170W	non_significant	Nlim	Excluded
YIL173W	non_significant	Nlim	Excluded
YIR001C	non_significant	Nlim	Excluded
YIR002C	non_significant	Nlim	Excluded
YIR005W	non_significant	Nlim	Excluded
YIR014W	non_significant	Nlim	Excluded
YIR018W	non_significant	Nlim	Excluded
YIR025W	non_significant	Nlim	Excluded
YIR028W	non_significant	Nlim	Excluded
YIR029W	non_significant	Nlim	Excluded
YIR031C	non_significant	Nlim	Excluded
YIR035C	non_significant	Nlim	Excluded
YJL016W	non_significant	Nlim	Excluded
YJL024C	non_significant	Nlim	Excluded
YJL036W	non_significant	Nlim	Excluded
YJL037W	non_significant	Nlim	Excluded
YJL038C	non_significant	Nlim	Excluded
YJL048C	non_significant	Nlim	Excluded
YJL057C	non_significant	Nlim	Excluded
YJL065C	non_significant	Nlim	Excluded
YJL073W	non_significant	Nlim	Excluded
YJL078C	non_significant	Nlim	Excluded
YJL094C	non_significant	Nlim	Excluded
YJL099W	non_significant	Nlim	Excluded
YJL112W	non_significant	Nlim	Excluded
YJL119C	non_significant	Nlim	Excluded
YJL121C	non_significant	Nlim	Excluded
YJL134W	non_significant	Nlim	Excluded
YJL142C	non_significant	Nlim	Excluded
