Strain	Polynomial	Condition	Data
YDR014W	linear	PulseGln	Excluded
YDR020C	linear	PulseGln	Excluded
YDR026C	linear	PulseGln	Excluded
YDR029W	linear	PulseGln	Excluded
YDR032C	linear	PulseGln	Excluded
YDR034C	linear	PulseGln	Excluded
YDR043C	linear	PulseGln	Excluded
YDR046C	linear	PulseGln	Excluded
YDR048C	linear	PulseGln	Excluded
YDR057W	linear	PulseGln	Excluded
YDR063W	linear	PulseGln	Excluded
YDR067C	linear	PulseGln	Excluded
YDR068W	linear	PulseGln	Excluded
YDR071C	linear	PulseGln	Excluded
YDR073W	linear	PulseGln	Excluded
YDR074W	linear	PulseGln	Excluded
YDR075W	linear	PulseGln	Excluded
YDR085C	linear	PulseGln	Excluded
YDR089W	linear	PulseGln	Excluded
YDR094W	linear	PulseGln	Excluded
YDR097C	linear	PulseGln	Excluded
YDR098C	linear	PulseGln	Excluded
YDR108W	linear	PulseGln	Excluded
YDR112W	linear	PulseGln	Excluded
YDR117C	linear	PulseGln	Excluded
YDR124W	linear	PulseGln	Excluded
YDR125C	linear	PulseGln	Excluded
YDR126W	linear	PulseGln	Excluded
YDR128W	linear	PulseGln	Excluded
YDR130C	linear	PulseGln	Excluded
YDR131C	linear	PulseGln	Excluded
YDR133C	linear	PulseGln	Excluded
YDR134C	linear	PulseGln	Excluded
YDR139C	linear	PulseGln	Excluded
YDR148C	linear	PulseGln	Excluded
YDR152W	linear	PulseGln	Excluded
YDR165W	linear	PulseGln	Excluded
YDR169C	linear	PulseGln	Excluded
YDR174W	linear	PulseGln	Excluded
YDR179C	linear	PulseGln	Excluded
YDR179W.A	linear	PulseGln	Excluded
YDR184C	linear	PulseGln	Excluded
YDR185C	linear	PulseGln	Excluded
YDR199W	linear	PulseGln	Excluded
YDR202C	linear	PulseGln	Excluded
YDR205W	linear	PulseGln	Excluded
YDR206W	linear	PulseGln	Excluded
YDR207C	linear	PulseGln	Excluded
YDR216W	linear	PulseGln	Excluded
YDR217C	linear	PulseGln	Excluded
YDR221W	linear	PulseGln	Excluded
YDR223W	linear	PulseGln	Excluded
YDR244W	linear	PulseGln	Excluded
YDR247W	linear	PulseGln	Excluded
YDR254W	linear	PulseGln	Excluded
YDR258C	linear	PulseGln	Excluded
YDR263C	linear	PulseGln	Excluded
YDR272W	linear	PulseGln	Excluded
YDR275W	linear	PulseGln	Excluded
YDR276C	linear	PulseGln	Excluded
YDR277C	linear	PulseGln	Excluded
YDR278C	linear	PulseGln	Excluded
YDR279W	linear	PulseGln	Excluded
YDR285W	linear	PulseGln	Excluded
YDR297W	linear	PulseGln	Excluded
YDR304C	linear	PulseGln	Excluded
YDR306C	linear	PulseGln	Excluded
YDR307W	linear	PulseGln	Excluded
YDR309C	linear	PulseGln	Excluded
YDR312W	linear	PulseGln	Excluded
YDR317W	linear	PulseGln	Excluded
YDR318W	linear	PulseGln	Excluded
YDR319C	linear	PulseGln	Excluded
YDR321W	linear	PulseGln	Excluded
YDR348C	linear	PulseGln	Excluded
YDR349C	linear	PulseGln	Excluded
YDR351W	linear	PulseGln	Excluded
YDR357C	linear	PulseGln	Excluded
YDR363W.A	linear	PulseGln	Excluded
YDR368W	linear	PulseGln	Excluded
YDR370C	linear	PulseGln	Excluded
YDR371W	linear	PulseGln	Excluded
YDR378C	linear	PulseGln	Excluded
YDR380W	linear	PulseGln	Excluded
YDR383C	linear	PulseGln	Excluded
YDR386W	linear	PulseGln	Excluded
YDR387C	linear	PulseGln	Excluded
YDR391C	linear	PulseGln	Excluded
YDR395W	linear	PulseGln	Excluded
YDR399W	linear	PulseGln	Excluded
YDR400W	linear	PulseGln	Excluded
YDR401W	linear	PulseGln	Excluded
YDR409W	linear	PulseGln	Excluded
YDR415C	linear	PulseGln	Excluded
YDR420W	linear	PulseGln	Excluded
YDR423C	linear	PulseGln	Excluded
YDR424C	linear	PulseGln	Excluded
YDR426C	linear	PulseGln	Excluded
YDR430C	linear	PulseGln	Excluded
YDR436W	linear	PulseGln	Excluded
YDR444W	linear	PulseGln	Excluded
YDR445C	linear	PulseGln	Excluded
YDR469W	linear	PulseGln	Excluded
YDR471W	linear	PulseGln	Excluded
YDR475C	linear	PulseGln	Excluded
YDR477W	linear	PulseGln	Excluded
YDR483W	linear	PulseGln	Excluded
YDR485C	linear	PulseGln	Excluded
YDR486C	linear	PulseGln	Excluded
YDR490C	linear	PulseGln	Excluded
YDR493W	linear	PulseGln	Excluded
YDR505C	linear	PulseGln	Excluded
YDR509W	linear	PulseGln	Excluded
YDR512C	linear	PulseGln	Excluded
YDR516C	linear	PulseGln	Excluded
YDR519W	linear	PulseGln	Excluded
YDR522C	linear	PulseGln	Excluded
YDR525W	linear	PulseGln	Excluded
YDR525W.A	linear	PulseGln	Excluded
YDR533C	linear	PulseGln	Excluded
YDR534C	linear	PulseGln	Excluded
YDR539W	linear	PulseGln	Excluded
YDR541C	linear	PulseGln	Excluded
YEL001C	linear	PulseGln	Excluded
YEL004W	linear	PulseGln	Excluded
YEL008W	linear	PulseGln	Excluded
YEL010W	linear	PulseGln	Excluded
YEL011W	linear	PulseGln	Excluded
YEL013W	linear	PulseGln	Excluded
YEL015W	linear	PulseGln	Excluded
YEL016C	linear	PulseGln	Excluded
YEL020C	linear	PulseGln	Excluded
YEL023C	linear	PulseGln	Excluded
YEL039C	linear	PulseGln	Excluded
YEL042W	linear	PulseGln	Excluded
YEL048C	linear	PulseGln	Excluded
YEL063C	linear	PulseGln	Excluded
YER001W	linear	PulseGln	Excluded
YER004W	linear	PulseGln	Excluded
YER016W	linear	PulseGln	Excluded
YER020W	linear	PulseGln	Excluded
YER027C	linear	PulseGln	Excluded
YER028C	linear	PulseGln	Excluded
YER030W	linear	PulseGln	Excluded
YER032W	linear	PulseGln	Excluded
YER033C	linear	PulseGln	Excluded
YER034W	linear	PulseGln	Excluded
YER038W.A	linear	PulseGln	Excluded
YER039C	linear	PulseGln	Excluded
YER039C.A	linear	PulseGln	Excluded
YER047C	linear	PulseGln	Excluded
YER048C	linear	PulseGln	Excluded
YER054C	linear	PulseGln	Excluded
YER056C	linear	PulseGln	Excluded
YER060W	linear	PulseGln	Excluded
YER064C	linear	PulseGln	Excluded
YER066C.A	linear	PulseGln	Excluded
YER067W	linear	PulseGln	Excluded
YER074W	linear	PulseGln	Excluded
YER079W	linear	PulseGln	Excluded
YER081W	linear	PulseGln	Excluded
YER083C	linear	PulseGln	Excluded
YER087C.A	linear	PulseGln	Excluded
YER088C	linear	PulseGln	Excluded
YER089C	linear	PulseGln	Excluded
YER093C.A	linear	PulseGln	Excluded
YER095W	linear	PulseGln	Excluded
YER098W	linear	PulseGln	Excluded
YER108C	linear	PulseGln	Excluded
YER113C	linear	PulseGln	Excluded
YER116C	linear	PulseGln	Excluded
YER118C	linear	PulseGln	Excluded
YER124C	linear	PulseGln	Excluded
YER128W	linear	PulseGln	Excluded
YER132C	linear	PulseGln	Excluded
YER134C	linear	PulseGln	Excluded
YER139C	linear	PulseGln	Excluded
YER140W	linear	PulseGln	Excluded
YER142C	linear	PulseGln	Excluded
YER150W	linear	PulseGln	Excluded
YER153C	linear	PulseGln	Excluded
YER158C	linear	PulseGln	Excluded
YER161C	linear	PulseGln	Excluded
YER163C	linear	PulseGln	Excluded
YER170W	linear	PulseGln	Excluded
YER173W	linear	PulseGln	Excluded
YER175C	linear	PulseGln	Excluded
YER176W	linear	PulseGln	Excluded
YER178W	linear	PulseGln	Excluded
YER179W	linear	PulseGln	Excluded
YER181C	linear	PulseGln	Excluded
YER182W	linear	PulseGln	Excluded
YER183C	linear	PulseGln	Excluded
YER185W	linear	PulseGln	Excluded
YFL001W	linear	PulseGln	Excluded
YFL003C	linear	PulseGln	Excluded
YFL004W	linear	PulseGln	Excluded
YFL006W	linear	PulseGln	Excluded
YFL007W	linear	PulseGln	Excluded
YFL010W.A	linear	PulseGln	Excluded
YFL012W	linear	PulseGln	Excluded
YFL013C	linear	PulseGln	Excluded
YFL019C	linear	PulseGln	Excluded
YFL020C	linear	PulseGln	Excluded
YFL025C	linear	PulseGln	Excluded
YFL034C.A	linear	PulseGln	Excluded
YFL035C.B	linear	PulseGln	Excluded
YFL043C	linear	PulseGln	Excluded
YFL049W	linear	PulseGln	Excluded
YFL050C	linear	PulseGln	Excluded
YFL052W	linear	PulseGln	Excluded
YFL053W	linear	PulseGln	Excluded
YFL055W	linear	PulseGln	Excluded
YFL056C	linear	PulseGln	Excluded
YFR006W	linear	PulseGln	Excluded
YFR007W	linear	PulseGln	Excluded
YFR012W	linear	PulseGln	Excluded
YFR013W	linear	PulseGln	Excluded
YFR015C	linear	PulseGln	Excluded
YFR018C	linear	PulseGln	Excluded
YFR019W	linear	PulseGln	Excluded
YFR024C.A	linear	PulseGln	Excluded
YFR026C	linear	PulseGln	Excluded
YFR032C	linear	PulseGln	Excluded
YFR032C.A	linear	PulseGln	Excluded
YFR035C	linear	PulseGln	Excluded
YFR040W	linear	PulseGln	Excluded
YFR043C	linear	PulseGln	Excluded
YFR044C	linear	PulseGln	Excluded
YFR046C	linear	PulseGln	Excluded
YFR048W	linear	PulseGln	Excluded
YFR049W	linear	PulseGln	Excluded
YFR053C	linear	PulseGln	Excluded
YFR057W	linear	PulseGln	Excluded
YGL002W	linear	PulseGln	Excluded
YGL005C	linear	PulseGln	Excluded
YGL007W	linear	PulseGln	Excluded
YGL019W	linear	PulseGln	Excluded
YGL020C	linear	PulseGln	Excluded
YGL023C	linear	PulseGln	Excluded
YGL027C	linear	PulseGln	Excluded
YGL031C	linear	PulseGln	Excluded
YGL042C	linear	PulseGln	Excluded
YGL043W	linear	PulseGln	Excluded
YGL045W	linear	PulseGln	Excluded
YGL046W	linear	PulseGln	Excluded
YGL060W	linear	PulseGln	Excluded
YGL062W	linear	PulseGln	Excluded
YGL066W	linear	PulseGln	Excluded
YGL078C	linear	PulseGln	Excluded
YGL082W	linear	PulseGln	Excluded
YGL083W	linear	PulseGln	Excluded
YGL087C	linear	PulseGln	Excluded
YGL090W	linear	PulseGln	Excluded
YGL101W	linear	PulseGln	Excluded
YGL104C	linear	PulseGln	Excluded
YGL109W	linear	PulseGln	Excluded
YGL110C	linear	PulseGln	Excluded
YGL121C	linear	PulseGln	Excluded
YGL127C	linear	PulseGln	Excluded
YGL133W	linear	PulseGln	Excluded
YGL136C	linear	PulseGln	Excluded
YGL138C	linear	PulseGln	Excluded
YGL141W	linear	PulseGln	Excluded
YGL146C	linear	PulseGln	Excluded
YGL149W	linear	PulseGln	Excluded
YGL153W	linear	PulseGln	Excluded
YGL157W	linear	PulseGln	Excluded
YGL163C	linear	PulseGln	Excluded
YGL167C	linear	PulseGln	Excluded
YGL168W	linear	PulseGln	Excluded
YGL174W	linear	PulseGln	Excluded
YGL175C	linear	PulseGln	Excluded
YGL176C	linear	PulseGln	Excluded
YGL177W	linear	PulseGln	Excluded
YGL180W	linear	PulseGln	Excluded
YGL195W	linear	PulseGln	Excluded
YGL197W	linear	PulseGln	Excluded
YGL199C	linear	PulseGln	Excluded
YGL209W	linear	PulseGln	Excluded
YGL214W	linear	PulseGln	Excluded
YGL216W	linear	PulseGln	Excluded
YGL219C	linear	PulseGln	Excluded
YGL221C	linear	PulseGln	Excluded
YGL222C	linear	PulseGln	Excluded
YGL228W	linear	PulseGln	Excluded
YGL231C	linear	PulseGln	Excluded
YGL235W	linear	PulseGln	Excluded
YGL236C	linear	PulseGln	Excluded
YGL248W	linear	PulseGln	Excluded
YGL250W	linear	PulseGln	Excluded
YGL252C	linear	PulseGln	Excluded
YGL254W	linear	PulseGln	Excluded
YGL255W	linear	PulseGln	Excluded
YGL258W	linear	PulseGln	Excluded
YGL261C	linear	PulseGln	Excluded
YGL263W	linear	PulseGln	Excluded
YGR004W	linear	PulseGln	Excluded
YGR007W	linear	PulseGln	Excluded
YGR016W	linear	PulseGln	Excluded
YGR017W	linear	PulseGln	Excluded
YGR021W	linear	PulseGln	Excluded
YGR022C	linear	PulseGln	Excluded
YGR023W	linear	PulseGln	Excluded
YGR027C	linear	PulseGln	Excluded
YGR032W	linear	PulseGln	Excluded
YGR034W	linear	PulseGln	Excluded
YGR038W	linear	PulseGln	Excluded
YGR039W	linear	PulseGln	Excluded
YGR041W	linear	PulseGln	Excluded
YGR042W	linear	PulseGln	Excluded
YGR050C	linear	PulseGln	Excluded
YGR052W	linear	PulseGln	Excluded
YGR053C	linear	PulseGln	Excluded
YGR055W	linear	PulseGln	Excluded
YGR058W	linear	PulseGln	Excluded
YGR059W	linear	PulseGln	Excluded
YGR067C	linear	PulseGln	Excluded
YGR069W	linear	PulseGln	Excluded
YGR071C	linear	PulseGln	Excluded
YGR077C	linear	PulseGln	Excluded
YGR080W	linear	PulseGln	Excluded
YGR084C	linear	PulseGln	Excluded
YGR087C	linear	PulseGln	Excluded
YGR089W	linear	PulseGln	Excluded
YGR096W	linear	PulseGln	Excluded
YGR100W	linear	PulseGln	Excluded
YGR106C	linear	PulseGln	Excluded
YGR107W	linear	PulseGln	Excluded
YGR108W	linear	PulseGln	Excluded
YGR122W	linear	PulseGln	Excluded
YGR124W	linear	PulseGln	Excluded
YGR125W	linear	PulseGln	Excluded
YGR127W	linear	PulseGln	Excluded
YGR131W	linear	PulseGln	Excluded
YGR136W	linear	PulseGln	Excluded
YGR137W	linear	PulseGln	Excluded
YGR141W	linear	PulseGln	Excluded
YGR142W	linear	PulseGln	Excluded
YGR143W	linear	PulseGln	Excluded
YGR144W	linear	PulseGln	Excluded
YGR149W	linear	PulseGln	Excluded
YGR154C	linear	PulseGln	Excluded
YGR161C	linear	PulseGln	Excluded
YGR164W	linear	PulseGln	Excluded
YGR166W	linear	PulseGln	Excluded
YGR168C	linear	PulseGln	Excluded
YGR173W	linear	PulseGln	Excluded
YGR174C	linear	PulseGln	Excluded
YGR176W	linear	PulseGln	Excluded
YGR178C	linear	PulseGln	Excluded
YGR182C	linear	PulseGln	Excluded
YGR183C	linear	PulseGln	Excluded
YGR189C	linear	PulseGln	Excluded
YGR192C	linear	PulseGln	Excluded
YGR193C	linear	PulseGln	Excluded
YGR196C	linear	PulseGln	Excluded
YGR197C	linear	PulseGln	Excluded
YGR199W	linear	PulseGln	Excluded
YGR203W	linear	PulseGln	Excluded
YGR205W	linear	PulseGln	Excluded
YGR207C	linear	PulseGln	Excluded
YGR210C	linear	PulseGln	Excluded
YGR214W	linear	PulseGln	Excluded
YGR217W	linear	PulseGln	Excluded
YGR221C	linear	PulseGln	Excluded
YGR223C	linear	PulseGln	Excluded
YGR224W	linear	PulseGln	Excluded
YGR225W	linear	PulseGln	Excluded
YGR226C	linear	PulseGln	Excluded
YGR229C	linear	PulseGln	Excluded
YGR232W	linear	PulseGln	Excluded
YGR233C	linear	PulseGln	Excluded
YGR237C	linear	PulseGln	Excluded
YGR239C	linear	PulseGln	Excluded
YGR247W	linear	PulseGln	Excluded
YGR249W	linear	PulseGln	Excluded
YGR250C	linear	PulseGln	Excluded
YGR256W	linear	PulseGln	Excluded
YGR259C	linear	PulseGln	Excluded
YGR260W	linear	PulseGln	Excluded
YGR261C	linear	PulseGln	Excluded
YGR266W	linear	PulseGln	Excluded
YGR269W	linear	PulseGln	Excluded
YGR276C	linear	PulseGln	Excluded
YGR281W	linear	PulseGln	Excluded
YGR283C	linear	PulseGln	Excluded
YGR284C	linear	PulseGln	Excluded
YGR287C	linear	PulseGln	Excluded
YGR292W	linear	PulseGln	Excluded
YGR295C	linear	PulseGln	Excluded
YHL002W	linear	PulseGln	Excluded
YHL003C	linear	PulseGln	Excluded
YHL005C	linear	PulseGln	Excluded
YHL006C	linear	PulseGln	Excluded
YHL007C	linear	PulseGln	Excluded
YHL017W	linear	PulseGln	Excluded
YHL019C	linear	PulseGln	Excluded
YHL020C	linear	PulseGln	Excluded
YHL021C	linear	PulseGln	Excluded
YHL027W	linear	PulseGln	Excluded
YHL028W	linear	PulseGln	Excluded
YHL029C	linear	PulseGln	Excluded
YHL034C	linear	PulseGln	Excluded
YHL036W	linear	PulseGln	Excluded
YHL039W	linear	PulseGln	Excluded
YHL043W	linear	PulseGln	Excluded
YHL044W	linear	PulseGln	Excluded
YHL045W	linear	PulseGln	Excluded
YHR003C	linear	PulseGln	Excluded
YHR004C	linear	PulseGln	Excluded
YHR006W	linear	PulseGln	Excluded
YHR008C	linear	PulseGln	Excluded
YHR014W	linear	PulseGln	Excluded
YHR017W	linear	PulseGln	Excluded
YHR021W.A	linear	PulseGln	Excluded
YHR022C	linear	PulseGln	Excluded
YHR028C	linear	PulseGln	Excluded
YHR033W	linear	PulseGln	Excluded
YHR034C	linear	PulseGln	Excluded
YHR039C	linear	PulseGln	Excluded
YHR041C	linear	PulseGln	Excluded
YHR043C	linear	PulseGln	Excluded
YHR045W	linear	PulseGln	Excluded
YHR047C	linear	PulseGln	Excluded
YHR059W	linear	PulseGln	Excluded
YHR066W	linear	PulseGln	Excluded
YHR067W	linear	PulseGln	Excluded
YHR079C	linear	PulseGln	Excluded
YHR080C	linear	PulseGln	Excluded
YHR086W	linear	PulseGln	Excluded
YHR103W	linear	PulseGln	Excluded
YHR104W	linear	PulseGln	Excluded
YHR106W	linear	PulseGln	Excluded
YHR108W	linear	PulseGln	Excluded
YHR110W	linear	PulseGln	Excluded
YHR111W	linear	PulseGln	Excluded
YHR114W	linear	PulseGln	Excluded
YHR115C	linear	PulseGln	Excluded
YHR116W	linear	PulseGln	Excluded
YHR117W	linear	PulseGln	Excluded
YHR123W	linear	PulseGln	Excluded
YHR124W	linear	PulseGln	Excluded
YHR126C	linear	PulseGln	Excluded
YHR127W	linear	PulseGln	Excluded
YHR130C	linear	PulseGln	Excluded
YHR131C	linear	PulseGln	Excluded
YHR132W.A	linear	PulseGln	Excluded
YHR134W	linear	PulseGln	Excluded
YHR135C	linear	PulseGln	Excluded
YHR136C	linear	PulseGln	Excluded
YHR140W	linear	PulseGln	Excluded
YHR142W	linear	PulseGln	Excluded
YHR151C	linear	PulseGln	Excluded
YHR152W	linear	PulseGln	Excluded
YHR155W	linear	PulseGln	Excluded
YHR156C	linear	PulseGln	Excluded
YHR158C	linear	PulseGln	Excluded
YHR161C	linear	PulseGln	Excluded
YHR162W	linear	PulseGln	Excluded
YHR163W	linear	PulseGln	Excluded
YHR171W	linear	PulseGln	Excluded
YHR180W	linear	PulseGln	Excluded
YHR184W	linear	PulseGln	Excluded
YHR185C	linear	PulseGln	Excluded
YHR195W	linear	PulseGln	Excluded
YHR198C	linear	PulseGln	Excluded
YHR199C	linear	PulseGln	Excluded
YHR200W	linear	PulseGln	Excluded
YHR202W	linear	PulseGln	Excluded
YHR203C	linear	PulseGln	Excluded
YHR206W	linear	PulseGln	Excluded
YHR209W	linear	PulseGln	Excluded
YHR210C	linear	PulseGln	Excluded
YIL008W	linear	PulseGln	Excluded
YIL010W	linear	PulseGln	Excluded
YIL013C	linear	PulseGln	Excluded
YIL014W	linear	PulseGln	Excluded
YIL015C.A	linear	PulseGln	Excluded
YIL024C	linear	PulseGln	Excluded
YIL025C	linear	PulseGln	Excluded
YIL027C	linear	PulseGln	Excluded
YIL034C	linear	PulseGln	Excluded
YIL040W	linear	PulseGln	Excluded
YIL041W	linear	PulseGln	Excluded
YIL050W	linear	PulseGln	Excluded
YIL055C	linear	PulseGln	Excluded
YIL058W	linear	PulseGln	Excluded
YIL071C	linear	PulseGln	Excluded
YIL085C	linear	PulseGln	Excluded
YIL088C	linear	PulseGln	Excluded
YIL089W	linear	PulseGln	Excluded
YIL098C	linear	PulseGln	Excluded
YIL099W	linear	PulseGln	Excluded
YIL101C	linear	PulseGln	Excluded
YIL102C	linear	PulseGln	Excluded
YIL103W	linear	PulseGln	Excluded
YIL107C	linear	PulseGln	Excluded
YIL110W	linear	PulseGln	Excluded
YIL113W	linear	PulseGln	Excluded
YIL114C	linear	PulseGln	Excluded
YIL119C	linear	PulseGln	Excluded
YIL120W	linear	PulseGln	Excluded
YIL122W	linear	PulseGln	Excluded
YIL123W	linear	PulseGln	Excluded
YIL131C	linear	PulseGln	Excluded
YIL135C	linear	PulseGln	Excluded
YIL136W	linear	PulseGln	Excluded
YIL140W	linear	PulseGln	Excluded
YIL141W	linear	PulseGln	Excluded
YIL145C	linear	PulseGln	Excluded
YIL152W	linear	PulseGln	Excluded
YIL153W	linear	PulseGln	Excluded
YIL160C	linear	PulseGln	Excluded
YIL161W	linear	PulseGln	Excluded
YIL164C	linear	PulseGln	Excluded
YIL166C	linear	PulseGln	Excluded
YIL167W	linear	PulseGln	Excluded
YIL168W	linear	PulseGln	Excluded
YIL173W	linear	PulseGln	Excluded
YIR001C	linear	PulseGln	Excluded
YIR002C	linear	PulseGln	Excluded
YIR005W	linear	PulseGln	Excluded
YIR014W	linear	PulseGln	Excluded
YIR016W	linear	PulseGln	Excluded
YIR018W	linear	PulseGln	Excluded
YIR020C	linear	PulseGln	Excluded
YIR023W	linear	PulseGln	Excluded
YIR024C	linear	PulseGln	Excluded
YIR032C	linear	PulseGln	Excluded
YIR037W	linear	PulseGln	Excluded
YIR038C	linear	PulseGln	Excluded
YIR039C	linear	PulseGln	Excluded
YJL004C	linear	PulseGln	Excluded
YJL012C	linear	PulseGln	Excluded
YJL013C	linear	PulseGln	Excluded
YJL027C	linear	PulseGln	Excluded
YJL028W	linear	PulseGln	Excluded
YJL030W	linear	PulseGln	Excluded
YJL036W	linear	PulseGln	Excluded
YJL043W	linear	PulseGln	Excluded
YJL045W	linear	PulseGln	Excluded
YJL047C	linear	PulseGln	Excluded
YJL062W	linear	PulseGln	Excluded
YJL064W	linear	PulseGln	Excluded
YJL065C	linear	PulseGln	Excluded
YJL073W	linear	PulseGln	Excluded
YJL078C	linear	PulseGln	Excluded
YJL079C	linear	PulseGln	Excluded
YJL084C	linear	PulseGln	Excluded
YJL092W	linear	PulseGln	Excluded
YJL093C	linear	PulseGln	Excluded
YJL098W	linear	PulseGln	Excluded
YJL099W	linear	PulseGln	Excluded
YJL100W	linear	PulseGln	Excluded
YJL101C	linear	PulseGln	Excluded
YJL103C	linear	PulseGln	Excluded
YJL105W	linear	PulseGln	Excluded
YJL106W	linear	PulseGln	Excluded
YJL112W	linear	PulseGln	Excluded
YJL116C	linear	PulseGln	Excluded
YJL121C	linear	PulseGln	Excluded
YJL122W	linear	PulseGln	Excluded
YJL124C	linear	PulseGln	Excluded
YJL135W	linear	PulseGln	Excluded
YJL136C	linear	PulseGln	Excluded
YJL137C	linear	PulseGln	Excluded
YJL138C	linear	PulseGln	Excluded
YJL139C	linear	PulseGln	Excluded
YJL145W	linear	PulseGln	Excluded
YJL147C	linear	PulseGln	Excluded
YJL149W	linear	PulseGln	Excluded
YJL157C	linear	PulseGln	Excluded
YJL158C	linear	PulseGln	Excluded
YJL159W	linear	PulseGln	Excluded
YJL164C	linear	PulseGln	Excluded
YJL165C	linear	PulseGln	Excluded
YJL166W	linear	PulseGln	Excluded
YJL170C	linear	PulseGln	Excluded
YJL175W	linear	PulseGln	Excluded
YJL178C	linear	PulseGln	Excluded
YJL185C	linear	PulseGln	Excluded
YJL186W	linear	PulseGln	Excluded
YJL190C	linear	PulseGln	Excluded
YJL192C	linear	PulseGln	Excluded
YJL198W	linear	PulseGln	Excluded
YJL199C	linear	PulseGln	Excluded
YJL207C	linear	PulseGln	Excluded
YJL210W	linear	PulseGln	Excluded
YJL211C	linear	PulseGln	Excluded
YJL212C	linear	PulseGln	Excluded
YJL215C	linear	PulseGln	Excluded
YJL216C	linear	PulseGln	Excluded
YJL217W	linear	PulseGln	Excluded
YJL218W	linear	PulseGln	Excluded
YJR003C	linear	PulseGln	Excluded
YJR015W	linear	PulseGln	Excluded
YJR030C	linear	PulseGln	Excluded
YJR031C	linear	PulseGln	Excluded
YJR033C	linear	PulseGln	Excluded
YJR035W	linear	PulseGln	Excluded
YJR037W	linear	PulseGln	Excluded
YJR038C	linear	PulseGln	Excluded
YJR039W	linear	PulseGln	Excluded
YJR040W	linear	PulseGln	Excluded
YJR044C	linear	PulseGln	Excluded
YJR047C	linear	PulseGln	Excluded
YJR058C	linear	PulseGln	Excluded
YJR059W	linear	PulseGln	Excluded
YJR062C	linear	PulseGln	Excluded
YJR066W	linear	PulseGln	Excluded
YJR070C	linear	PulseGln	Excluded
YJR074W	linear	PulseGln	Excluded
YJR075W	linear	PulseGln	Excluded
YJR077C	linear	PulseGln	Excluded
YJR078W	linear	PulseGln	Excluded
YJR082C	linear	PulseGln	Excluded
YJR083C	linear	PulseGln	Excluded
YJR087W	linear	PulseGln	Excluded
YJR088C	linear	PulseGln	Excluded
YJR092W	linear	PulseGln	Excluded
YJR094C	linear	PulseGln	Excluded
YJR094W.A	linear	PulseGln	Excluded
YJR095W	linear	PulseGln	Excluded
YJR103W	linear	PulseGln	Excluded
YJR109C	linear	PulseGln	Excluded
YJR110W	linear	PulseGln	Excluded
YJR111C	linear	PulseGln	Excluded
YJR118C	linear	PulseGln	Excluded
YJR120W	linear	PulseGln	Excluded
YJR124C	linear	PulseGln	Excluded
YJR125C	linear	PulseGln	Excluded
YJR128W	linear	PulseGln	Excluded
YJR129C	linear	PulseGln	Excluded
YJR131W	linear	PulseGln	Excluded
YJR140C	linear	PulseGln	Excluded
YJR148W	linear	PulseGln	Excluded
YKL005C	linear	PulseGln	Excluded
YKL006W	linear	PulseGln	Excluded
YKL007W	linear	PulseGln	Excluded
YKL009W	linear	PulseGln	Excluded
YKL029C	linear	PulseGln	Excluded
YKL030W	linear	PulseGln	Excluded
YKL031W	linear	PulseGln	Excluded
YKL032C	linear	PulseGln	Excluded
YKL034W	linear	PulseGln	Excluded
YKL037W	linear	PulseGln	Excluded
YKL039W	linear	PulseGln	Excluded
YKL043W	linear	PulseGln	Excluded
YKL044W	linear	PulseGln	Excluded
YKL046C	linear	PulseGln	Excluded
YKL051W	linear	PulseGln	Excluded
YKL053C.A	linear	PulseGln	Excluded
YKL053W	linear	PulseGln	Excluded
YKL056C	linear	PulseGln	Excluded
YKL057C	linear	PulseGln	Excluded
YKL063C	linear	PulseGln	Excluded
YKL068W	linear	PulseGln	Excluded
YKL072W	linear	PulseGln	Excluded
YKL073W	linear	PulseGln	Excluded
YKL077W	linear	PulseGln	Excluded
YKL081W	linear	PulseGln	Excluded
YKL086W	linear	PulseGln	Excluded
YKL090W	linear	PulseGln	Excluded
YKL091C	linear	PulseGln	Excluded
YKL098W	linear	PulseGln	Excluded
YKL101W	linear	PulseGln	Excluded
YKL116C	linear	PulseGln	Excluded
YKL120W	linear	PulseGln	Excluded
YKL123W	linear	PulseGln	Excluded
YKL129C	linear	PulseGln	Excluded
YKL132C	linear	PulseGln	Excluded
YKL140W	linear	PulseGln	Excluded
YKL142W	linear	PulseGln	Excluded
YKL147C	linear	PulseGln	Excluded
YKL148C	linear	PulseGln	Excluded
YKL150W	linear	PulseGln	Excluded
YKL151C	linear	PulseGln	Excluded
YKL157W	linear	PulseGln	Excluded
YKL160W	linear	PulseGln	Excluded
YKL162C	linear	PulseGln	Excluded
YKL164C	linear	PulseGln	Excluded
YKL176C	linear	PulseGln	Excluded
YKL183W	linear	PulseGln	Excluded
YKL184W	linear	PulseGln	Excluded
YKL185W	linear	PulseGln	Excluded
YKL197C	linear	PulseGln	Excluded
YKL198C	linear	PulseGln	Excluded
YKL206C	linear	PulseGln	Excluded
YKL208W	linear	PulseGln	Excluded
YKL218C	linear	PulseGln	Excluded
YKL220C	linear	PulseGln	Excluded
YKL222C	linear	PulseGln	Excluded
YKR001C	linear	PulseGln	Excluded
YKR003W	linear	PulseGln	Excluded
YKR005C	linear	PulseGln	Excluded
YKR014C	linear	PulseGln	Excluded
YKR018C	linear	PulseGln	Excluded
YKR021W	linear	PulseGln	Excluded
YKR024C	linear	PulseGln	Excluded
