row_number,reads_t0,reads_t1,reads_t2,reads_t3,reads_t4,reads_t5,reads_t6,reads_t7,freq_t0,freq_t1,freq_t2,freq_t3,freq_t4,freq_t5,freq_t6,freq_t7,freq_mean,freq_std,freq_cv,zero_t0,zero_t1,zero_t2,zero_t3,zero_t4,zero_t5,zero_t6,zero_t7,zero_count
2410,6.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0109715689520523e-06,6.517014295070856e-07,0.0,1.8733692320834715e-07,0.0,0.0,1.5122036345511916e-07,0.0,2.5015378564032553e-07,3.7874334615751417e-07,1.513437030286762,0,0,1,0,1,1,0,1,4
3569,23.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,3.8753910143162e-06,6.517014295070856e-07,0.0,1.8733692320834715e-07,0.0,3.8222194022736856e-07,0.0,0.0,6.370814134073752e-07,1.3297463336494756e-06,2.0869195266361547,0,0,1,0,1,0,1,1,4
828,138.0,50.0,0.0,2.0,3.0,0.0,0.0,0.0,2.3252346085897198e-05,8.14626786883857e-06,0.0,3.746738464166943e-07,4.803676926466595e-07,0.0,0.0,0.0,4.0317069367248896e-06,8.258044785121034e-06,2.0482242614099957,0,0,1,0,0,1,1,1,4
1700,64.0,22.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0783696735488556e-05,3.584357862288971e-06,7.221261994967502e-07,7.493476928333886e-07,6.404902568622126e-07,0.0,0.0,0.0,2.060002343371235e-06,3.716374487363212e-06,1.8039756613652438,0,0,0,0,0,1,1,1,3
2578,4.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,6.739810459680348e-07,3.258507147535428e-07,0.0,3.746738464166943e-07,0.0,1.9111097011368428e-07,1.5122036345511916e-07,0.0,2.146046175883844e-07,2.3657058623997546e-07,1.101842097748968,0,0,1,0,1,0,0,1,3
3812,31.0,8.0,1.0,1.0,0.0,0.0,0.0,3.0,5.223353106252269e-06,1.3034028590141713e-06,1.8053154987418755e-07,1.8733692320834715e-07,0.0,0.0,0.0,3.791354675037304e-07,9.092199882315881e-07,1.796037672827095e-06,1.9751437294587162,0,0,0,0,1,1,1,0,3
615,18.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0329147068561563e-06,1.629253573767714e-07,0.0,5.620107696250414e-07,1.6012256421555315e-07,0.0,0.0,1.2637848916791012e-07,5.055439859051791e-07,1.0377162687453504e-06,2.0522666098513596,0,0,1,0,0,1,1,0,3
2583,80.0,14.0,0.0,2.0,1.0,0.0,1.0,0.0,1.3479620919360696e-05,2.2809550032747997e-06,0.0,3.746738464166943e-07,1.6012256421555315e-07,0.0,1.5122036345511916e-07,0.0,2.0558240870903578e-06,4.679446270129875e-06,2.276079306387451,0,0,1,0,0,1,0,1,3
283,78.0,4.0,0.0,3.0,1.0,0.0,0.0,1.0,1.3142630396376678e-05,6.517014295070856e-07,0.0,5.620107696250414e-07,1.6012256421555315e-07,0.0,0.0,1.2637848916791012e-07,1.8303554561115336e-06,4.578042416743483e-06,2.501040056155583,0,0,1,0,0,1,1,0,3
2479,68.0,6.0,3.0,1.0,0.0,0.0,1.0,0.0,1.145767778145659e-05,9.775521442606284e-07,5.415946496225626e-07,1.8733692320834715e-07,0.0,0.0,1.5122036345511916e-07,0.0,1.6644227327504062e-06,3.9717367837847605e-06,2.3861114694552623,0,0,0,0,1,1,0,1,3
3046,47.0,9.0,2.0,2.0,0.0,0.0,1.0,0.0,7.919277290124408e-06,1.4663282163909427e-06,3.610630997483751e-07,3.746738464166943e-07,0.0,0.0,1.5122036345511916e-07,0.0,1.2840703520169425e-06,2.7247016228818575e-06,2.121760262259901,0,0,0,0,1,1,0,1,3
