row_number,reads_t0,reads_t1,reads_t2,reads_t3,reads_t4,reads_t5,reads_t6,reads_t7,reads_t8,reads_t9,freq_t0,freq_t1,freq_t2,freq_t3,freq_t4,freq_t5,freq_t6,freq_t7,freq_t8,freq_t9,freq_mean,freq_std,freq_cv,zero_t0,zero_t1,zero_t2,zero_t3,zero_t4,zero_t5,zero_t6,zero_t7,zero_t8,zero_t9,zero_count
3573,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074062e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074064e-08,6.496854500429961e-08,3.146960152615459,0,1,1,1,1,1,1,1,1,1,9
1550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.039280623367301e-07,0.0,2.039280623367301e-08,6.448771558088663e-08,3.146846500452575,1,1,1,1,1,1,1,1,0,1,9
134,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033256347470497e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033256347470497e-08,6.429721125001508e-08,3.146801003682847,1,0,1,1,1,1,1,1,1,1,9
3503,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033256347470497e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033256347470497e-08,6.429721125001508e-08,3.146801003682847,1,0,1,1,1,1,1,1,1,1,9
3627,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033256347470497e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033256347470497e-08,6.429721125001508e-08,3.146801003682847,1,0,1,1,1,1,1,1,1,1,9
3768,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033256347470497e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033256347470497e-08,6.429721125001508e-08,3.146801003682847,1,0,1,1,1,1,1,1,1,1,9
2435,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033256347470497e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033256347470497e-08,6.429721125001508e-08,3.146801003682847,1,0,1,1,1,1,1,1,1,1,9
3730,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.962237908788118e-07,0.0,0.0,0.0,0.0,1.962237908788118e-08,6.205141102896183e-08,3.146243703787774,1,1,1,1,1,0,1,1,1,1,9
3435,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.962237908788118e-07,0.0,0.0,0.0,0.0,1.962237908788118e-08,6.205141102896183e-08,3.146243703787774,1,1,1,1,1,0,1,1,1,1,9
1162,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.962237908788118e-07,0.0,0.0,0.0,0.0,1.962237908788118e-08,6.205141102896183e-08,3.146243703787774,1,1,1,1,1,0,1,1,1,1,9
