row_number,reads_t0,reads_t1,reads_t2,reads_t3,reads_t4,reads_t5,reads_t6,reads_t7,reads_t8,reads_t9,freq_t0,freq_t1,freq_t2,freq_t3,freq_t4,freq_t5,freq_t6,freq_t7,freq_t8,freq_t9,freq_mean,freq_std,freq_cv,zero_t0,zero_t1,zero_t2,zero_t3,zero_t4,zero_t5,zero_t6,zero_t7,zero_t8,zero_t9,zero_count
2871,584.0,276.0,118.0,54.0,19.0,13.0,7.0,2.0,11.0,1.0,0.00011998196983275253,5.6117875190185716e-05,2.4451200066971423e-05,1.202146766982104e-05,3.6499007515145647e-06,2.5509092814245534e-06,1.4795791654116664e-06,3.693315910731077e-07,1.1216043428520155e-06,3.708677452242433e-07,2.2211470563723087e-05,3.855345731377299e-05,1.7357375608882064,0,0,0,0,0,0,0,0,0,0,0
2872,27.0,16.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,5.547111618979997e-06,3.2532101559527953e-06,2.0721355988958834e-07,0.0,1.9210003955339814e-07,1.962237908788118e-07,4.227369044033333e-07,0.0,2.039280623367301e-07,3.708677452242433e-07,1.0393391877218899e-06,1.8567517590009872e-06,1.7863014796184264,0,0,0,1,0,0,0,1,0,0,2
2873,205.0,31.0,30.0,12.0,25.0,25.0,17.0,14.0,12.0,1.0,4.211695858855183e-05,6.303094677158541e-06,6.21640679668765e-06,2.6714372599602314e-06,4.802500988834953e-06,4.905594771970295e-06,3.5932636874283328e-06,2.585321137511754e-06,1.2235683740203805e-06,3.708677452242433e-07,7.47890140273482e-06,1.2330480748548306e-05,1.6486800957196588,0,0,0,0,0,0,0,0,0,0,0
2874,1309.0,742.0,378.0,161.0,90.0,39.0,39.0,29.0,32.0,10.0,0.0002689321892312895,0.00015086762098231088,7.832672563826438e-05,3.584178323779977e-05,1.728900355980583e-05,7.65272784427366e-06,8.243369635864999e-06,5.355308070560062e-06,3.2628489973876816e-06,3.7086774522424332e-06,5.7948025464979926e-05,8.781548908847472e-05,1.5154155269706642,0,0,0,0,0,0,0,0,0,0,0
2875,187.0,53.0,20.0,19.0,27.0,18.0,18.0,20.0,23.0,7.0,3.8418884175898496e-05,1.0776258641593634e-05,4.1442711977917665e-06,4.229775661603699e-06,5.18670106794175e-06,3.5320282358186123e-06,3.8046321396299996e-06,3.6933159107310773e-06,2.3451727168723962e-06,2.5960742165697034e-06,7.872711396445114e-06,1.0990606525543492e-05,1.3960205537892327,0,0,0,0,0,0,0,0,0,0,0
2876,1205.0,976.0,1174.0,901.0,1041.0,670.0,516.0,291.0,370.0,29.0,0.00024756553706929246,0.0001984458195131205,0.00024326871931037669,0.0002005804142686807,0.00019997614117508747,0.0001314699398888039,0.00010906612133605999,5.3737746501137175e-05,3.772669153229507e-05,1.0755164611503056e-05,0.0001432592295206357,8.720759750097985e-05,0.6087393944449397,0,0,0,0,0,0,0,0,0,0,0
2877,222.0,49.0,14.0,16.0,12.0,13.0,12.0,9.0,20.0,12.0,4.5609584422724424e-05,9.962956102605435e-06,2.9009898384542367e-06,3.5619163466136414e-06,2.3052004746407777e-06,2.5509092814245534e-06,2.5364214264199996e-06,1.6619921598289848e-06,2.039280623367301e-06,4.45041294269092e-06,7.757966361877027e-06,1.3514267500609997e-05,1.7419633798208818,0,0,0,0,0,0,0,0,0,0,0
2878,407.0,108.0,30.0,18.0,19.0,12.0,15.0,15.0,22.0,7.0,8.361757144166144e-05,2.195916855268137e-05,6.21640679668765e-06,4.007155889940347e-06,3.6499007515145647e-06,2.3546854905457414e-06,3.1705267830249996e-06,2.7699869330483076e-06,2.243208685704031e-06,2.5960742165697034e-06,1.3258468554137818e-05,2.5428106580877056e-05,1.9178621339889133,0,0,0,0,0,0,0,0,0,0,0
2879,424.0,107.0,45.0,23.0,16.0,14.0,19.0,10.0,23.0,6.0,8.711019727583403e-05,2.175584291793432e-05,9.324610195031475e-06,5.12025474825711e-06,3.0736006328543702e-06,2.7471330723033653e-06,4.016000591831666e-06,1.8466579553655386e-06,2.3451727168723962e-06,2.22520647134546e-06,1.3956467657762973e-05,2.6402487647728417e-05,1.891760803598636,0,0,0,0,0,0,0,0,0,0,0
2880,219.0,72.0,26.0,13.0,15.0,17.0,13.0,11.0,10.0,2.0,4.49932386872822e-05,1.4639445701787578e-05,5.387552557129297e-06,2.894057031623584e-06,2.881500593300972e-06,3.3358044449398003e-06,2.7477898786216664e-06,2.0313237509020925e-06,1.0196403116836504e-06,7.417354904484866e-07,8.067208844771933e-06,1.3572867958205359e-05,1.6824529988090557,0,0,0,0,0,0,0,0,0,0,0
2881,31.0,7.0,1.0,2.0,3.0,4.0,0.0,3.0,5.0,0.0,6.36890593290296e-06,1.4232794432293478e-06,2.0721355988958834e-07,4.452395433267052e-07,5.763001186601944e-07,7.848951635152472e-07,0.0,5.539973866096616e-07,5.098201558418252e-07,0.0,1.086965130397553e-06,1.901167561122441e-06,1.7488994062638736,0,0,0,0,0,0,1,0,0,1,2
2882,159.0,18.0,14.0,10.0,6.0,8.0,5.0,8.0,6.0,7.0,3.266632397843776e-05,3.6598614254468946e-06,2.9009898384542367e-06,2.226197716633526e-06,1.1526002373203888e-06,1.5697903270304944e-06,1.0568422610083332e-06,1.4773263642924309e-06,6.117841870101903e-07,2.5960742165697034e-06,4.991779055220397e-06,9.76889874284331e-06,1.9569582184943386,0,0,0,0,0,0,0,0,0,0,0
2883,149.0,158.0,121.0,76.0,39.0,15.0,2.0,1.0,1.0,0.0,3.061183819363036e-05,3.212545029003385e-05,2.5072840746640188e-05,1.6919102646414797e-05,7.4919015425825275e-06,2.943356863182177e-06,4.227369044033333e-07,1.8466579553655386e-07,1.0196403116836505e-07,0.0,1.1587385701359216e-05,1.3359859615171998e-05,1.1529558663105735,0,0,0,0,0,0,0,0,0,1,1
2884,1223.0,693.0,471.0,261.0,160.0,58.0,15.0,21.0,23.0,3.0,0.0002512636114819458,0.00014090466487970543,9.75975867079961e-05,5.8103760404135026e-05,3.0736006328543706e-05,1.1380979870971083e-05,3.1705267830249996e-06,3.877981706267631e-06,2.3451727168723962e-06,1.11260323567273e-06,6.00492894115135e-05,8.228389125929336e-05,1.370270240308501,0,0,0,0,0,0,0,0,0,0,0
2885,566.0,391.0,227.0,132.0,78.0,61.0,30.0,17.0,8.0,2.0,0.0001162838954200992,7.950032318609644e-05,4.703747809493655e-05,2.9385809859562544e-05,1.4983803085165055e-05,1.196965124360752e-05,6.341053566049999e-06,3.1393185241214154e-06,8.157122493469204e-07,7.417354904484866e-07,3.101987807194342e-05,3.903706824764483e-05,1.2584492534813432,0,0,0,0,0,0,0,0,0,0,0
2886,180.0,50.0,14.0,17.0,10.0,8.0,2.0,9.0,9.0,2.0,3.6980744126533316e-05,1.0166281737352485e-05,2.9009898384542367e-06,3.784536118276994e-06,1.9210003955339816e-06,1.5697903270304944e-06,4.227369044033333e-07,1.6619921598289848e-06,9.176762805152855e-07,7.417354904484866e-07,6.1067483378377594e-06,1.12112598830404e-05,1.8358503867823168,0,0,0,0,0,0,0,0,0,0,0
2887,3580.0,5373.0,6432.0,6096.0,6742.0,5477.0,4330.0,3904.0,4783.0,626.0,0.0007355059109610515,0.001092468635495898,0.0013327976172098322,0.0013570901280597974,0.0012951384666690102,0.0010747177026432522,0.0009152253980332165,0.0007209352657747063,0.00048769396107829,0.00023216320851037633,0.000924373629443543,0.00037850081909987813,0.40946730423389366,0,0,0,0,0,0,0,0,0,0,0
2888,19.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,3.903522991134072e-06,1.0166281737352485e-06,6.21640679668765e-07,2.226197716633526e-07,0.0,0.0,0.0,1.8466579553655386e-07,4.078561246734602e-07,0.0,6.356933536411451e-07,1.1956592304916325e-06,1.8805783729008392,0,0,0,0,1,1,1,0,0,1,4
