row_number,reads_t0,reads_t1,reads_t2,reads_t3,reads_t4,reads_t5,reads_t6,reads_t7,reads_t8,reads_t9,freq_t0,freq_t1,freq_t2,freq_t3,freq_t4,freq_t5,freq_t6,freq_t7,freq_t8,freq_t9,freq_mean,freq_std,freq_cv,zero_t0,zero_t1,zero_t2,zero_t3,zero_t4,zero_t5,zero_t6,zero_t7,zero_t8,zero_t9,zero_count
933,630.0,422.0,109.0,39.0,30.0,18.0,8.0,7.0,11.0,0.0,0.0001294326044428666,8.580341786325498e-05,2.258627802796513e-05,8.682171094870752e-06,5.763001186601944e-06,3.5320282358186123e-06,1.6909476176133332e-06,1.292660568755877e-06,1.1216043428520155e-06,0.0,2.599047133805992e-05,4.471760197039087e-05,1.72053170316066,0,0,0,0,0,0,0,0,0,1,1
526,731.0,251.0,112.0,12.0,13.0,2.0,0.0,3.0,2.0,1.0,0.0001501829108694214,5.1034734321509476e-05,2.3207918707633894e-05,2.6714372599602314e-06,2.4973005141941757e-06,3.924475817576236e-07,0.0,5.539973866096616e-07,2.039280623367301e-07,3.708677452242433e-07,2.3111554244864745e-05,4.7575241067558186e-05,2.0584957079880635,0,0,0,0,0,0,1,0,0,0,1
3394,450.0,191.0,93.0,56.0,25.0,24.0,5.0,3.0,6.0,0.0,9.245186031633328e-05,3.883519623668649e-05,1.9270861069731715e-05,1.2466707213147745e-05,4.802500988834953e-06,4.709370981091483e-06,1.0568422610083332e-06,5.539973866096616e-07,6.117841870101903e-07,0.0,1.7475912064045387e-05,2.901200726987082e-05,1.6601045572381605,0,0,0,0,0,0,0,0,0,1,1
3184,754.0,1608.0,1547.0,1520.0,1571.0,1468.0,873.0,536.0,406.0,0.0,0.00015490822817447843,0.0003269476206732559,0.00032055937714919316,0.00033838205292829594,0.0003017891621383885,0.0002880565250100957,0.00018452465877205498,9.898086640759286e-05,4.139739665435621e-05,0.0,0.0002055545887907712,0.00012703398939630187,0.6180057975987425,0,0,0,0,0,0,0,0,0,1,1
3396,538.0,259.0,69.0,27.0,16.0,7.0,5.0,4.0,5.0,0.0,0.00011053133522263846,5.266133939948587e-05,1.4297735632381594e-05,6.01073383491052e-06,3.0736006328543702e-06,1.3735665361516827e-06,1.0568422610083332e-06,7.386631821462154e-07,5.098201558418252e-07,0.0,1.902536368574189e-05,3.593908183220818e-05,1.8889989976508028,0,0,0,0,0,0,0,0,0,1,1
501,88.0,46.0,16.0,9.0,10.0,13.0,6.0,3.0,5.0,0.0,1.8079474906305176e-05,9.352979198364285e-06,3.3154169582334134e-06,2.0035779449701735e-06,1.9210003955339816e-06,2.5509092814245534e-06,1.2682107132099998e-06,5.539973866096616e-07,5.098201558418252e-07,0.0,3.955538694049307e-06,5.6298969020610195e-06,1.4232586283803914,0,0,0,0,0,0,0,0,0,1,1
520,14.0,20.0,18.0,10.0,11.0,18.0,4.0,7.0,4.0,0.0,2.876280098730369e-06,4.066512694940994e-06,3.7298440780125897e-06,2.226197716633526e-06,2.1131004350873796e-06,3.5320282358186123e-06,8.454738088066666e-07,1.292660568755877e-06,4.078561246734602e-07,0.0,2.108995376145948e-06,1.4411088204520804e-06,0.6832829073313358,0,0,0,0,0,0,0,0,0,1,1
942,58.0,46.0,20.0,4.0,6.0,6.0,5.0,2.0,6.0,0.0,1.1916017551882957e-05,9.352979198364285e-06,4.1442711977917665e-06,8.904790866534104e-07,1.1526002373203888e-06,1.1773427452728707e-06,1.0568422610083332e-06,3.693315910731077e-07,6.117841870101903e-07,0.0,3.0671648056377304e-06,4.186019801729124e-06,1.364740270887302,0,0,0,0,0,0,0,0,0,1,1
3648,70.0,76.0,44.0,19.0,11.0,5.0,2.0,1.0,1.0,0.0,1.4381400493651844e-05,1.5452748240775776e-05,9.117396635141886e-06,4.229775661603699e-06,2.1131004350873796e-06,9.81118954394059e-07,4.227369044033333e-07,1.8466579553655386e-07,1.0196403116836505e-07,0.0,4.698490715176291e-06,6.069256538371598e-06,1.2917184973715847,0,0,0,0,0,0,0,0,0,1,1
3182,41.0,7.0,1.0,0.0,7.0,4.0,4.0,4.0,5.0,2.0,8.423391717710366e-06,1.4232794432293478e-06,2.0721355988958834e-07,0.0,1.344700276873787e-06,7.848951635152472e-07,8.454738088066666e-07,7.386631821462154e-07,5.098201558418252e-07,7.417354904484866e-07,1.501917279846153e-06,2.4711547311456595e-06,1.6452239027494893,0,0,0,1,0,0,0,0,0,0,1
1343,522.0,1017.0,876.0,779.0,907.0,765.0,425.0,252.0,203.0,0.0,0.00010724415796694662,0.00020678217053774953,0.00018151907846327938,0.00017342080212575167,0.00017423473587493211,0.00015011120002229102,8.983159218570832e-05,4.653578047521157e-05,2.0698698327178104e-05,0.0,0.00011503782159790483,7.341054074749866e-05,0.6381420989514442,0,0,0,0,0,0,0,0,0,1,1
3649,1170.0,2526.0,2139.0,1843.0,2077.0,1945.0,1261.0,829.0,642.0,0.0,0.00024037483682246653,0.0005136005533710476,0.0004432298046038294,0.00041028823917555883,0.00039899178215240796,0.00038165527325928895,0.0002665356182263016,0.00015308794449980315,6.546090801009036e-05,0.0,0.00028732249601207946,0.00017140919111653495,0.5965740025171172,0,0,0,0,0,0,0,0,0,1,1
3401,374.0,402.0,243.0,156.0,103.0,43.0,8.0,18.0,9.0,0.0,7.683776835179699e-05,8.173690516831398e-05,5.035289505316996e-05,3.4728684379483006e-05,1.978630407400001e-05,8.437623007788907e-06,1.6909476176133332e-06,3.3239843196579695e-06,9.176762805152855e-07,0.0,2.778127882523394e-05,3.177334129839522e-05,1.1436920211294686,0,0,0,0,0,0,0,0,0,1,1
3400,336.0,275.0,132.0,73.0,35.0,28.0,14.0,15.0,31.0,0.0,6.903072236952885e-05,5.5914549555438666e-05,2.735218990542566e-05,1.625124333142474e-05,6.723501384368935e-06,5.494266144606731e-06,2.9591583308233328e-06,2.7699869330483076e-06,3.1608849662193163e-06,0.0,1.8965650292088453e-05,2.4514795636756612e-05,1.2925824319738586,0,0,0,0,0,0,0,0,0,1,1
3398,27.0,4.0,2.0,0.0,6.0,1.0,3.0,1.0,2.0,1.0,5.547111618979997e-06,8.133025389881988e-07,4.144271197791767e-07,0.0,1.1526002373203888e-06,1.962237908788118e-07,6.341053566049999e-07,1.8466579553655386e-07,2.039280623367301e-07,3.708677452242433e-07,9.517232265649099e-07,1.650865054471445e-06,1.734424006891855,0,0,0,1,0,0,0,0,0,0,1
506,67.0,4.0,3.0,3.0,4.0,2.0,0.0,5.0,3.0,2.0,1.3765054758209622e-05,8.133025389881988e-07,6.21640679668765e-07,6.678593149900578e-07,7.684001582135926e-07,3.924475817576236e-07,0.0,9.233289776827693e-07,3.0589209350509513e-07,7.417354904484866e-07,1.8999661593464212e-06,4.1781532931336855e-06,2.1989514799689256,0,0,0,0,0,0,1,0,0,0,1
1349,212.0,228.0,158.0,116.0,82.0,80.0,39.0,23.0,28.0,0.0,4.355509863791701e-05,4.635824472232733e-05,3.273974246255496e-05,2.5823893512948902e-05,1.5752203243378647e-05,1.5697903270304943e-05,8.243369635864999e-06,4.247313297340739e-06,2.8549928727142213e-06,0.0,1.9527276165535174e-05,1.6866971047756534e-05,0.8637602361307445,0,0,0,0,0,0,0,0,0,1,1
