443,392
554,455
1138,485
647,530
193,269
776,775
1306,1501
4466,5122
1031,649
1345,1042
442,382
143,149
643,305
10,8
348,287
1494,1506
317,184
902,871
461,397
397,365
584,431
884,634
4931,5615
165,130
1296,1196
58,63
717,840
336,294
1099,1066
3140,3388
774,866
978,770
624,631
3278,4024
831,758
2784,2800
931,872
1161,1238
2580,2430
823,671
0,1
840,809
1499,1380
130,100
1100,1038
1219,1218
439,524
2181,2019
7,2
648,519
1273,1029
474,310
661,629
1083,841
352,334
5551,6015
70,42
695,656
297,314
1016,735
264,252
810,832
194,214
5550,7322
415,411
791,780
1197,1134
1264,1151
436,342
204,190
1374,1291
455,368
2088,1990
488,372
45,25
358,282
564,448
942,899
913,883
2175,2401
85,63
1279,1693
588,733
707,633
41,372
347,299
712,628
935,909
1140,1215
745,705
408,308
675,635
680,753
765,888
168,155
429,495
298,339
725,660
1454,1508
340,244
541,569
488,456
1195,1241
1963,1851
1832,1996
1375,1467
601,657
1568,987
553,401
55,158
1077,1041
862,934
1189,1170
273,300
213,141
927,899
3923,3654
1191,1423
1051,1211
516,465
111,163
309,204
18,19
1017,1133
2127,2304
5541,6868
1227,1316
238,160
2272,1965
683,632
377,467
345,284
79,71
496,474
1626,1940
1291,1375
2481,2527
2452,2484
498,458
683,890
753,824
1345,1302
436,418
969,795
1323,1246
703,573
1780,1754
891,736
245,156
439,385
5231,5529
708,632
44,5
495,170
1723,1564
902,628
1788,2332
1038,858
878,854
794,848
258,240
1482,1531
158,121
896,533
526,458
1617,1417
1838,1795
220,152
2752,3286
1238,1032
1548,1395
521,708
81,48
107,76
19,23
171,164
4273,4563
90,6
34,24
1597,1642
404,382
1217,1040
953,623
3531,4106
1283,915
2208,1988
335,276
651,816
134,126
800,816
1120,1019
1572,1627
55,56
1235,1484
694,449
1310,1282
1720,1745
40,36
359,309
431,194
934,912
720,641
1689,1448
3053,3048
1464,1408
882,843
937,1030
598,620
459,267
12782,16038
320,322
889,778
435,385
922,710
178,169
583,492
1084,1013
1076,1056
268,121
652,655
7,3
18,9
654,557
500,490
1578,1617
4,4
810,770
286,317
206,208
2550,3417
715,698
1025,894
2146,2184
2324,2504
759,692
752,710
642,669
238,232
1671,1688
2092,2250
1115,1091
851,1010
2513,2722
338,352
383,328
399,355
1234,1266
414,341
64,65
1108,1121
500,707
799,801
166,34
113,134
446,313
1398,1448
10,4
468,237
554,566
2361,1862
503,403
257,235
392,344
1887,1671
2080,2112
1172,1147
1104,1122
876,1051
1030,931
551,628
572,587
944,929
5419,7049
95,87
623,556
387,395
1052,963
895,774
882,751
358,269
212,173
65,59
1102,1103
1640,1497
838,727
2671,3309
703,344
449,454
578,612
858,830
1469,1050
158,108
459,390
1476,1488
779,671
3977,3553
1200,1223
438,463
883,882
452,327
166,148
713,549
2435,2553
2135,2122
381,322
2572,3023
238,208
136,156
2437,2177
3312,3251
559,360
163,157
814,687
571,530
837,867
987,673
1128,1078
844,669
1086,932
1048,979
7213,7939
2042,1952
303,279
412,440
413,338
236,148
7,9
205,177
420,467
533,509
1073,1155
733,833
525,441
668,608
3,2
2072,2052
1237,1094
5690,6670
27,4
2397,2384
2511,2202
542,616
496,412
689,666
410,76
103,82
76,55
17,14
3930,4200
1377,1298
511,532
96,97
845,756
110,109
576,599
571,572
153,51
333,293
516,450
1321,1313
405,260
51,43
4,2
35,23
1486,1321
825,666
1732,1856
456,392
2738,2722
1421,1434
101,62
1793,1245
1357,1462
310,276
316,195
1219,1329
1619,1635
799,629
43,9
644,573
63,62
3321,3310
743,742
2382,2321
2052,2225
413,354
300,268
903,812
842,772
2911,2529
249,96
601,432
687,655
1751,1805
1498,1203
3309,3746
3117,3517
490,408
860,721
3162,3485
1653,1557
6450,7146
8,4
83,70
222,176
661,675
631,671
716,799
2703,3043
240,186
471,312
291,197
1003,977
4613,4508
4438,4901
1171,1019
768,622
339,198
1314,1317
1192,1398
2066,2002
295,217
4721,5763
1677,1647
1116,1077
1958,2011
151,109
456,406
323,227
1697,1670
546,577
920,926
703,466
1055,835
270,303
15,14
2720,2744
593,473
2196,1858
441,430
1028,1112
1629,2169
1399,1296
2204,1435
580,353
920,1009
1354,1285
144,128
75,73
0,1
1,0
1367,1054
2595,2660
1172,910
661,709
519,237
2174,2506
1960,2158
71,59
383,280
1597,1556
660,796
894,1012
1150,1527
51,66
459,323
1810,1742
496,548
1739,1714
1426,1476
507,462
866,775
991,862
377,332
729,603
265,315
183,80
515,414
644,591
345,282
30,22
946,627
889,711
1914,1383
778,583
834,963
1096,768
272,61
769,863
311,300
1051,1103
285,189
252,248
2324,3103
0,1
1990,1941
1160,1163
543,594
2679,2603
506,397
479,352
0,0
902,698
1078,1016
1506,1259
2499,2501
8132,7814
585,459
187,118
151,69
1420,1257
898,865
630,636
6642,7903
214,200
4168,4185
8484,10893
979,747
409,340
496,505
340,327
733,636
735,537
738,511
1085,977
336,316
618,646
227,163
710,541
5955,6895
3172,4268
820,769
478,358
614,686
727,585
1108,774
985,964
1,2
7,5
774,576
57,41
7604,8100
632,512
335,219
663,774
637,643
1063,992
868,618
1562,1701
1373,1756
880,869
645,647
21,9
1001,813
912,744
103,100
505,265
4055,4468
1150,946
405,384
2571,2806
2477,2404
613,490
371,324
499,189
950,687
675,645
319,286
1206,1197
78,19
1014,1070
419,426
1478,1313
815,452
108,94
725,790
24,25
6,4
1750,1700
2481,2049
1195,1287
623,454
4,1
714,740
23,22
19,9
371,309
974,1043
3124,2574
1053,706
2070,2116
1095,868
1297,1144
28,10
350,278
3427,2433
477,441
750,701
888,516
885,933
173,24
1698,1686
1098,867
463,414
1080,970
2520,2725
9,2
1250,1035
468,385
239,250
1557,1479
626,669
1200,1096
106,78
1959,1999
894,753
784,821
556,338
2193,2247
1224,1299
1585,1859
4873,5081
544,412
159,107
705,683
2014,1956
633,610
1231,1059
782,709
746,545
343,333
2,3
68,16
3023,3254
214,196
468,536
456,383
314,261
414,435
24,16
1994,2465
489,410
1735,1877
1215,1038
757,722
148,135
1604,1545
220,79
862,899
1044,879
241,146
33,16
5,4
2313,2053
610,601
5457,5846
768,621
532,545
613,629
19,7
635,528
1219,1213
996,955
872,776
1757,1870
1305,1185
955,850
730,665
141,154
1167,1369
2682,2859
1269,1656
2296,2327
579,526
749,698
355,308
740,705
265,254
1374,1316
3160,3199
341,300
625,741
820,743
1434,1069
422,397
626,459
515,465
765,780
1748,1854
421,364
1989,2040
495,480
921,925
881,813
1220,1328
740,581
1685,1575
599,492
857,639
25,18
1093,995
2610,2707
1272,1333
895,900
1255,1244
299,233
612,497
685,724
1161,1049
638,541
3,2
770,762
1000,948
397,316
776,749
2432,2499
226,130
2660,3108
880,860
1793,1769
1047,671
1144,932
447,419
987,1128
668,603
1251,1202
353,364
0,6
37,23
4522,5379
3343,3386
1783,1764
947,1060
1508,1342
944,955
559,491
4252,4110
