Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7,Estimated_Read_Number_t8,Estimated_Read_Number_t9
0.0010883566157753053,-72.47201953664292,,2165,2574,2581,2230,2786,2729,2767,2707,1845,646
-0.00515938024438546,-117.74560605642503,,974,996,932,542,791,616,540,469,401,136
-0.0016096365245818144,-51.82513359873353,,1541,1717,1421,1032,1253,1136,925,994,632,220
0.004131128095364777,-108.35519753218747,,1095,1400,1077,1091,1287,1349,1266,1607,1120,331
0.002410966523944254,-61.91127089285397,,1640,2013,2160,1733,2253,2176,2205,2341,1711,648
-0.004418984802146834,-49.275413467438106,,1225,1276,986,646,792,642,562,461,350,89
-0.004126551573560991,-152.22733912852573,,1358,1424,1358,934,1168,1053,957,880,648,234
-0.009382164680291119,-52.876647252453786,,552,510,253,222,203,196,126,142,54,15
-0.0011663389440989959,-62.47116247860305,,571,643,702,468,548,479,579,482,358,113
0.0005408102387553407,-65.96878671288866,,1450,1701,1828,1461,1887,1707,1517,1483,1057,330
-0.0032008096833569164,-145.38051890510218,,774,830,869,673,788,797,657,724,549,214
-0.004008109323019246,-47.594666952024944,,694,730,471,319,349,317,252,299,184,71
0.0020393997177335973,-69.75057469814627,,3507,4266,3446,2826,4026,3606,3525,3917,3163,1140
-0.0035378019396952744,-182.97312248327327,,1376,1464,1437,1051,1427,1204,1143,1127,851,298
0.001247459795145506,-173.04748418720422,,348,415,1119,762,738,787,869,616,544,186
-0.011598048017756532,-39.84214252835497,,895,784,471,297,294,184,132,101,60,10
-0.013337749785033135,-52.69909915250463,,849,714,345,250,220,185,100,122,56,6
-0.0022658336259869095,-45.202134145791895,,799,876,764,578,600,513,493,407,267,82
0.007031739501799656,-144.03090617110507,,1051,1441,1169,1429,1799,2178,2489,2781,2432,732
0.009903809052285132,-389.3020096807638,,2114,3106,3064,4569,5571,8076,11267,11899,12228,4705
0.0018350856503050233,-54.449585322598026,,1143,1383,1350,1146,1537,1436,1430,1549,1105,400
-0.004486545713406287,-64.04589774645464,,847,881,484,407,482,396,369,356,234,45
0.007482962919730671,-120.5591883908368,,101,140,596,555,678,779,924,813,745,310
0.001654740970115583,-78.49676078543483,,1233,1486,1778,1519,1862,1731,1509,1678,1170,342
-0.003066856771951214,-45.18919253570476,,1031,1109,854,606,721,648,565,469,325,89
0.001964730769102029,-71.27458324905999,,1058,1284,1442,1245,1489,1540,1668,1679,1216,460
0.0016420463501431665,-61.61998447338178,,1499,1806,1776,1501,2162,2059,1986,1850,1334,446
-0.005823438645886532,-72.98470706953287,,1300,1309,682,572,572,505,539,386,344,77
0.004136458666330451,-87.84041839535817,,591,756,791,721,651,957,1126,909,757,230
-0.005728589873983494,-57.831577473804074,,1168,1179,1040,675,767,600,506,317,169,50
-0.007007823403893517,-49.46579055742105,,1724,1688,1245,722,797,692,500,452,242,61
-0.0055683609514790115,-50.90702363234944,,1337,1355,844,622,690,612,573,454,315,81
-0.0014650485490229994,-45.138884938208086,,872,975,814,597,719,624,551,528,356,130
-0.006777991207400054,-47.64101066437422,,1309,1288,832,602,671,544,413,360,195,58
0.002057349405025613,-54.44981201599197,,1965,2391,2019,1582,2071,2037,1838,2017,1544,576
-0.0032670829498705092,-125.90931527030946,,964,1032,926,587,747,650,668,626,510,268
0.002670722142324764,-58.92968598618458,,1817,2244,2123,1921,2424,2602,2615,2670,2068,776
0.009055250695867505,-166.08440576260892,,949,1366,850,870,903,1047,1024,1263,1113,504
-0.0006362889999489267,-51.69986880652092,,1437,1639,1394,1164,1342,1265,1140,1190,803,237
-0.001671580103171305,-88.51248192158683,,2281,2538,1989,1651,1700,1824,2043,1613,1196,373
0.002832579410798883,-66.53382116631316,,2073,2570,2332,1942,2757,2679,2413,3004,2324,912
0.0006051557843354365,-56.30239585129328,,2552,2999,2404,1851,2400,2477,2288,2410,1713,614
