Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7,Estimated_Read_Number_t8
-0.010138275846066577,-142.42783791727274,,342,211,282,461,129,31,181,195,192
-0.007949382189752769,-323.51680031569515,,149,102,17,36,9,0,43,5,15
-0.009421331495947621,-218.57529892473644,,547,350,411,632,191,73,418,421,486
-0.010006479942495443,-53.98179507511068,,1335,830,609,757,174,214,157,99,103
-0.0045794068415911365,-58.412568194631774,,470,379,339,361,101,164,213,163,282
-0.005897487770998487,-461.87493139409014,,630,477,683,1686,452,177,1161,1069,1363
-0.007580897182266101,-293.79181372676715,,551,385,496,826,274,84,567,623,805
-0.004350789118718562,-6.427481227146359,,1,0,0,0,0,0,0,0,0
0.008307658968830355,-64.30798570193501,,391,586,638,1026,394,727,730,961,1388
0.011214628121160818,-68.91598549922134,,281,484,369,644,233,509,766,994,1882
0.003973939902349378,-49.66707137835453,,318,387,380,421,157,336,364,356,546
-0.006760272503162556,-3.880948186846521,,1,0,0,0,0,0,0,0,0
-0.009822094582183657,-245.74720921181785,,399,250,291,558,162,52,423,444,523
-0.002895484034512943,-80.75713770143011,,339,296,246,394,122,107,292,291,455
0.0025073373272678236,-69.40872221296745,,797,904,682,1234,441,668,859,774,1218
-0.006703254254096753,-8.116641463118851,,1,0,0,0,0,1,0,0,0
0.006061509939470942,-237.00051224918911,,378,508,528,804,568,504,2059,1466,2596
0.00412036206993355,-697.0638284750208,,352,431,278,174,75,13,324,245,345
0.0033348597986689803,-81.62377255277555,,327,386,477,786,187,305,428,424,836
-0.0006113729944428022,-62.21910764630922,,697,680,589,687,244,527,456,335,284
-0.007208363328527733,-1123.0113508367572,,985,701,707,1725,919,386,2616,2292,3704
-0.008933091043554118,-610.1790437888205,,762,499,424,1176,524,211,1456,909,1405
-0.021117684832554336,-1454.2794467393949,,930,339,254,1155,470,23,1390,630,925
-0.006760272503162556,-3.880948186846521,,1,0,0,0,0,0,0,0,0
-0.0030235946396962345,-44.55155543357679,,57,49,104,104,17,19,29,29,26
-0.006760272503162556,-3.880948186846521,,1,0,0,0,0,0,0,0,0
-0.011161737649006267,-275.5303338101408,,1021,601,299,753,268,135,695,484,585
0.0010488777660335484,-46.600805184096835,,633,669,740,1196,480,726,721,457,517
-0.00327178578295709,-118.5266405874506,,96,82,83,453,61,78,219,121,146
-0.0426036790555424,-18.161379619587866,,203,26,15,9,0,0,0,0,0
-0.03274690043531881,-26.355471769568318,,776,162,74,72,5,2,2,0,0
0.00011143020735394351,-134.34112317102534,,398,402,515,764,288,491,863,1004,1584
