Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6
0.021713550962100706,-1961.1374992852639,,327,440,4,662,362,367,71
0.013757547359528294,-52.59407468936809,,19,17,154,41,7,0,0
0.023456702652340004,-3116.077199982907,,467,684,4,997,490,764,192
-0.010096270909187788,-47.129719332095554,,1266,370,708,626,63,50,52
0.017461180377151175,-1358.5674449468036,,394,432,3,431,159,324,194
0.027753814166967716,-6774.813651708886,,556,1001,4,2150,1141,1802,342
0.02466315174938123,-3751.756380484811,,493,765,4,1191,653,1000,233
-0.0011177133951629664,-7.970611160114881,,1,0,2,0,0,0,0
0.025743867645331254,-3204.118560912645,,396,647,4,1153,900,1052,1443
0.025115074814500298,-1301.1970270594459,,275,436,4,528,378,642,905
0.022733443452125517,-1537.4636066031928,,296,418,4,571,273,394,525
-0.0126666940637471,-4.79287830036875,,1,0,1,0,0,0,0
0.023795046963064975,-2440.7846860304967,,362,538,4,801,462,773,149
0.02077602687894761,-1199.4190621260077,,291,374,4,423,201,366,155
0.002329590817188232,-150.80200447042404,,996,529,428,820,215,348,618
-0.0126666940637471,-4.79287830036875,,1,0,1,0,0,0,0
-0.013104148002979321,-82.21709066233753,,381,96,621,309,66,0,0
-0.03005549873291147,-80.48471888225569,,192,21,326,77,6,0,0
0.02416106146746313,-2432.8916294512724,,389,589,4,860,362,702,811
-0.015400320218474043,-45.27876346208664,,577,130,536,272,32,0,0
0.015264576311611603,-280.9631671776034,,954,943,1202,2132,1111,1528,1208
0.009643579893366543,-257.7874371065039,,800,603,542,1296,518,754,401
0.02700926287847361,-5380.662021667253,,679,1179,1087,2268,1244,1333,14
-0.0126666940637471,-4.79287830036875,,1,0,1,0,0,0,0
0.018494303942797007,-193.16186108370616,,68,78,3,96,28,41,30
-0.0126666940637471,-4.79287830036875,,1,0,1,0,0,0,0
-0.0005996368232752151,-336.7851921485558,,929,428,319,653,159,385,61
0.004321801216945503,-77.5171474243052,,687,401,482,818,321,296,379
0.0038340247977279853,-199.494264340808,,99,56,170,306,24,74,1
-0.02624557508956986,-56.34194925319105,,190,25,1,8,0,0,0
-0.9977403895589626,-63.107770455975746,,634,0,0,0,0,0,0
0.028173287430423372,-3012.2987958080016,,386,709,4,1154,779,1467,1588
