Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2
-0.0012386078210354437,-19.55561899202105,,1283,601,652
-0.006519670583299406,-37.78750925033697,,100,41,1
0.09512748274208345,-6033.947141896529,,804,3806,14
-0.009189625553591619,-8.729326639775437,,233,90,93
0.07092848058769473,-6682.750459517998,,1425,3774,7
-0.0005407824983441542,-16.93823298748302,,1993,949,1557
0.0676745047853321,-2601.9299547999753,,1235,3025,103
-0.008231132126914991,-8.873323336163615,,173,68,108
-0.003113693122586964,-12.435029902444828,,917,410,639
-0.03315848319565093,-12.179652166170131,,225,49,16
-0.9999999,-19.419248686762767,,282,0,0
0.009516888367698859,-78.17743345873575,,3777,2291,2805
0.001867135586414206,-23.67923186492487,,4064,2051,3396
-0.008112880928756817,-27.0689323114186,,2029,806,1371
0.07076885752421937,-7077.590257471944,,1500,3957,7
-0.04211558142058958,-362.70270976923877,,1149,201,12
-0.014233929524752203,-13.13921883245025,,474,162,113
0.06990517403226891,-735.2870709259096,,241,622,7
0.0035204145898252394,-34.31086091324217,,76,39,1
0.029046894253183457,-677.3955096221076,,503,487,2
-0.005404942077822025,-17.310119284386623,,3502,1484,2015
0.0038349212332941226,-27.67363120457168,,912,482,479
0.01688562784787512,-133.3414410193738,,175,126,2
0.0645695789396739,-5401.846650728186,,1357,3085,6
-0.0037666572313956,-14.592881609861102,,1960,864,1111
-0.019275458640049797,-14.111383150830402,,590,179,108
-0.00010362138044749808,-19.67190594886832,,3479,1675,2506
0.007752695818377884,-19.464951955438366,,2002,1164,2211
-0.9999999,-28.420676917434825,,826,0,0
-0.030179128074871463,-2.4790965770082405,,1,0,0
-0.004180302408786519,-16.203997689918864,,2843,1241,1633
0.008042035296527573,-300.4197490278128,,2963,1734,966
-0.004486037597273876,-10.37737286254556,,556,240,345
-0.0011197182636073543,-13.254673889278035,,1133,532,702
0.10794282595410189,-7042.831913358878,,707,4552,19
-0.001990403204221124,-15.114813342696669,,1895,872,1158
0.004325175355053537,-9.136417149313438,,174,93,173
-0.013057098700326977,-11.594714635186133,,244,86,56
-0.020206093133028537,-11.816712418048745,,447,132,175
-0.004537851646642601,-76.71453378170509,,2224,962,2382
0.008906672607910407,-20.6044158747007,,44,26,1
0.004458907771292943,-24.477726928851318,,2203,1183,1601
-0.032133286409631284,-10.464092858856148,,336,75,32
