Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7
-0.014812607125914076,-40.88998724731235,,571,490,185,138,124,76,20,36
0.03134650315985258,-1028.8733179913731,,569,1480,1609,1147,429,745,200,3
-0.010269365899125079,-66.16283573453121,,344,329,117,131,34,10,2,0
0.026524115739074747,-250.62248956968318,,148,342,529,361,60,79,29,2
-0.004085240209209662,-48.19374373806527,,336,373,153,113,51,44,15,3
-0.02115801358186315,-3.4108783072439346,,1,0,0,0,0,0,0,0
0.01295021072228265,-167.35512167836245,,100,167,389,196,13,29,3,1
0.018953254937777577,-42.14502128454792,,8,15,46,2,0,0,0,1
0.038146115048598016,-577.5561168092567,,193,591,1030,601,68,122,46,6
-0.00746887649844862,-64.04390062460979,,835,855,442,185,97,88,24,7
0.01086878745194687,-131.5221325926736,,298,474,353,266,105,125,32,0
0.061717731973710936,-2945.1629515720615,,276,1488,3567,3088,921,1432,624,34
0.023310217972593972,-390.55470666922093,,178,381,790,542,59,110,27,2
-0.01571430946455704,-4.307836647596088,,1,0,0,0,0,0,0,0
0.020435707218196677,-342.53965108264305,,450,900,574,432,260,349,99,1
0.020225047497910743,-183.4142050952663,,257,511,344,295,180,210,64,1
0.015611503966235271,-157.60471552705965,,279,497,355,215,141,180,48,1
-0.02115801358186315,-3.4108783072439346,,1,0,0,0,0,0,0,0
0.009541148008510074,-154.62416642416673,,150,231,377,205,17,42,9,0
0.008349409694398145,-86.41076563706456,,147,220,252,160,31,36,8,0
0.013975112555358118,-211.9353051691226,,600,1028,772,502,236,330,73,11
-0.02115801358186315,-3.4108783072439346,,1,0,0,0,0,0,0,0
0.01933798268165352,-151.48870459137143,,286,557,350,358,278,315,119,212
-0.00620069007241043,-81.54213121075422,,100,105,208,33,18,19,3,7
0.00655989416335475,-123.01707335288377,,428,614,412,254,178,148,47,0
-0.011058463503976218,-78.45192363573565,,360,338,183,264,287,204,39,115
-3.0344547746778347e-05,-108.78741412474155,,800,980,648,551,131,134,31,72
-0.006050034665126173,-68.82406511477242,,660,699,389,284,59,59,15,36
0.01562051880319661,-457.71441766493956,,500,891,822,456,33,13,4,1
-0.02115801358186315,-3.4108783072439346,,1,0,0,0,0,0,0,0
0.006667971729961683,-42.911694149891886,,47,67,99,89,25,48,11,0
-0.02115801358186315,-3.4108783072439346,,1,0,0,0,0,0,0,0
0.004070171401818541,-72.72068295877821,,323,436,377,264,67,43,9,16
0.0029335838623656824,-68.62660016204863,,635,835,501,426,270,232,63,15
-0.00776757897699727,-24.738662877968913,,75,76,40,43,34,15,2,4
-0.018755369068282225,-21.39164437019143,,39,30,11,3,0,3,0,0
-0.017767007536373634,-27.662521185190833,,166,132,60,30,6,1,0,0
0.008145559561672244,-174.47558953197938,,402,599,403,263,75,128,25,0
