Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7,Estimated_Read_Number_t8,Estimated_Read_Number_t9
-0.006831465167980085,-160.44635202368823,,662,235,1067,859,524,470,1021,525,447,64
-0.007014711018494085,-128.1710349154475,,653,231,982,684,470,352,704,477,336,58
-0.020305080203110934,-53.62168352836459,,353,91,301,172,76,33,49,33,16,2
-0.01056426691641353,-100.2124861369317,,710,231,974,691,493,285,361,253,121,20
0.012905079265822546,-185.64173809450958,,40,22,41,14,110,13,6,17,0,0
-0.009878059884748092,-234.69545356061644,,614,203,741,395,517,288,149,415,145,40
-0.018097573898677936,-55.77410371020814,,322,87,297,213,73,39,46,48,25,3
-0.016084787830717193,-89.87545872650823,,331,94,325,168,99,50,38,107,40,9
0.042100846664398034,-1702.002698330026,,26,29,133,41,953,31,16,612,25,51
-0.006413523451797929,-335.0588168402588,,957,344,1855,1534,853,856,2174,1069,942,150
-0.009222697589630475,-64.96381777781554,,807,271,309,266,276,137,171,181,107,20
0.02061083584767187,-8237.504291253435,,502,345,3,3287,1565,1445,2608,1003,1141,207
-0.017741844555778305,-119.91680646008491,,267,73,320,123,99,55,39,112,30,11
-0.006902557993451746,-244.9542908658633,,829,294,1105,868,551,596,1625,672,587,99
0.0004144882636222206,-72.2567942768584,,1056,447,933,1091,839,656,759,950,602,134
0.010644280765319874,-1531.7808621119777,,317,171,480,66,536,77,15,449,17,62
-0.0054391267252746345,-155.58943414561392,,322,118,470,352,413,237,181,414,165,49
-0.005333653885099796,-197.35434030132095,,813,300,1220,917,632,619,1496,849,668,108
-0.006760456797883783,-183.60097634901382,,664,237,967,644,383,384,984,544,461,88
-0.014564975021976971,-195.65403430668636,,519,153,404,173,306,135,55,236,62,14
1.1697029046783608e-05,-128.5469030220292,,1582,664,1403,2759,2028,1601,3034,1818,1504,289
-0.008403074267336995,-98.97903214853739,,629,215,720,522,344,234,568,386,184,36
-0.020538169228191093,-5.395645591388974,,1,0,1,0,0,0,0,0,0,0
-0.020538169228191093,-5.395645591388974,,1,0,1,0,0,0,0,0,0,0
-0.007467774648955344,-107.87272786242276,,651,228,955,833,583,409,787,408,239,41
-0.001601006418521081,-72.53765026882702,,1043,421,951,1076,704,696,1289,838,626,108
0.003720502912914972,-40.17673914123188,,50,22,50,19,28,5,16,20,10,2
-0.005091865908338345,-170.0748620254625,,574,213,987,650,426,439,952,690,519,96
-0.006567146713367869,-137.28520498374286,,610,218,1205,972,687,537,762,503,349,55
-0.009492948284514116,-145.7245939108876,,877,293,1020,575,481,309,307,410,219,38
-0.004358958445857485,-139.45311926960392,,654,247,1021,1064,740,588,1302,756,529,101
-0.004735623718501721,-135.03361077538867,,596,223,812,505,440,375,522,568,362,79
-0.004308487474120099,-133.00314568408177,,435,164,654,511,509,364,354,495,238,66
-0.007368180011962794,-149.74353694879704,,523,184,737,444,321,300,792,399,334,54
-0.006069547441375018,-159.70484954195697,,408,148,1024,1063,778,581,1106,473,377,52
