Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7,Estimated_Read_Number_t8,Estimated_Read_Number_t9
-0.010918069424895692,-58.43655423891547,,317,210,73,40,29,13,3,3,6,1
-0.016700884932623887,-31.90831941912609,,224,129,91,30,22,11,10,7,13,0
-0.0200723672791355,-49.831719574785794,,291,155,53,29,22,7,4,0,0,0
0.0027475579252255623,-216.17025656844908,,466,429,1056,962,1140,1078,1020,920,1668,276
-0.019938600892618494,-40.70411685474945,,212,113,26,13,15,9,5,7,3,0
-0.008406131292603454,-4.263842085242155,,1,0,0,0,0,0,0,0,0,0
-0.016088964803039965,-22.43439197019757,,99,58,19,10,8,5,4,1,3,0
-0.029929203992892756,-33.33905687271793,,165,69,25,1,0,0,0,0,0,0
0.0013260952534990215,-280.7840201504516,,910,810,1933,1802,2012,2048,1901,1401,1641,133
-0.008591236562396557,-55.45197446358093,,1674,1175,1061,670,482,294,239,96,89,4
0.0009276549764504274,-256.2708825113887,,1031,909,2048,1796,1976,1912,1685,1286,1440,111
-0.01520585117326908,-33.648241678700295,,173,103,39,6,5,7,6,5,8,0
-0.016744553266648296,-30.02343094510678,,217,125,77,24,17,14,3,4,6,0
-0.005833273674495923,-7.2040988460798445,,1,0,0,0,0,0,0,0,0,0
-0.009418461430965136,-41.54131581934763,,284,195,243,110,114,47,25,13,15,1
