Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4
0.0003814371864559766,-33.47672539207658,,757,939,96,290,187
0.02603297322042093,-51.12814908676748,,42,96,3,1,11
-0.028012871942713742,-37.81835956561776,,211,132,16,42,2
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.05318529357733029,-2691.746378901373,,859,3787,154,4,712
0.0041049836342412814,-97.4833787141263,,1347,1828,186,1032,804
-0.02062916745501781,-90.41767119315635,,409,306,50,186,33
-0.01912693974407382,-24.94257089902098,,551,428,30,122,34
-0.004678135547164078,-19.15850893291715,,131,144,16,73,37
0.008112405350549263,-71.44290247989169,,1039,1552,129,498,422
-0.015052311469305624,-60.886801146262584,,354,303,49,187,44
0.005032859069132614,-60.09711474504599,,1595,2214,206,846,610
-0.005247435121353637,-32.1839495937499,,962,1043,80,257,156
-0.00816188697010184,-41.63482090453129,,651,658,72,352,151
0.005768643406139153,-67.35620597235337,,968,1367,126,779,631
-0.012365667431894423,-31.89658969843915,,946,864,83,248,78
-0.9999999,-19.675331033940864,,259,0,0,0,0
0.04231072530451688,-417.87771646791504,,441,1497,94,53,275
-0.031938587307229184,-76.35593824852862,,140,80,16,72,6
0.04010268945337955,-518.6806068886723,,333,1072,48,2,120
0.0030100050027327017,-45.02905130980228,,992,1311,107,370,282
-0.0012690898930543338,-35.03886929171358,,774,923,71,218,137
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.06447608418303395,-3171.6200866583704,,724,4185,170,7,1164
-0.031706127446681505,-10.491788838277047,,61,35,2,5,1
-0.022972925619495054,-57.333929078179594,,433,306,38,122,16
0.04846964603190047,-110.56734075258548,,70,275,27,3,47
-0.9999999,-33.56259461953482,,46,0,0,0,0
-0.013054304294352644,-21.64345873433497,,344,309,29,99,32
0.0040567531386090745,-3.13610548997388,,1,1,0,0,0
-0.00809493400452841,-21.67095889627415,,637,645,53,138,58
0.017573827851304385,-99.67467271783245,,1093,2050,227,1088,1205
-0.02342392166342229,-20.14077947663815,,830,581,27,35,16
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.005413054064113138,-57.75599065341208,,397,556,33,95,142
-0.017187191251491388,-18.482470824473314,,275,223,15,58,22
0.020200770277223095,-88.08664291580597,,253,505,46,120,149
-0.026565645852536523,-24.00860858278942,,304,197,15,47,6
0.011877666954923167,-79.3582653363382,,411,672,109,678,627
-0.006650295010429345,-19.470914645889287,,429,449,41,127,57
-0.016157546655292846,-29.544147981179737,,282,235,25,119,35
-0.006348743781459632,-24.6860994549084,,721,761,78,217,87
-0.026019864949053888,-54.50519242241445,,350,230,28,87,9
-0.007410192533092235,-35.110487500928855,,431,443,60,189,62
-0.021518729063014573,-25.85158890366385,,451,331,27,86,16
0.07026119452397571,-2181.1388904893697,,450,2988,248,10,1042
0.024628308903089233,-9.017890488389163,,9,19,3,1,0
0.06129375529833303,-1106.3773581619034,,335,1794,158,6,448
-0.02258083380305542,-32.417865740362686,,178,127,16,53,7
-0.03321508750739599,-26.076415175943186,,825,457,14,9,4
-0.007048242927580485,-21.772116550270592,,481,499,50,105,43
0.05219531762881681,-1468.6983457212496,,570,2454,135,4,422
-0.010797191568260988,-26.956629366411608,,763,724,53,209,98
-0.025047757400468353,-64.34856623944346,,478,322,38,139,19
-0.0071377126190954,-33.20963125867462,,466,483,49,239,115
-0.04784442871212673,-11.078582709542141,,75,29,1,3,0
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.04981327245120086,-1172.8669061293774,,521,2118,125,3,326
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.01311532828141946,-34.91142919444707,,452,405,47,155,42
-0.005755472830647703,-27.153753469342362,,911,976,73,226,127
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.01302094746047341,-29.610110702294488,,292,262,29,129,44
-0.0026578279829822683,-31.113031468436567,,721,832,71,207,136
-0.018798390970143054,-21.57416213947492,,518,405,25,94,33
-0.0010919447342912503,-38.53428302365301,,755,904,64,217,165
-0.0010032928596761023,-39.59094894662,,704,845,58,238,174
-0.007509588569573279,-27.42770634139056,,422,433,41,225,104
-0.022739884449126155,-39.58446391807106,,339,241,26,105,19
-0.007539775668431002,-25.47057347781683,,526,539,43,203,102
-0.02741652539270369,-48.26107953279172,,275,175,21,81,9
-0.018574371245990137,-29.975898674437158,,536,422,36,145,37
0.07441942841098302,-3744.0985985009697,,637,4675,291,12,1854
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.01480439063234457,-29.384456367000343,,497,428,40,172,54
-0.023710091499534968,-33.33330297603976,,237,165,18,64,10
-0.016940944126345954,-64.7925874332111,,400,327,49,184,40
0.0013294571658625598,-65.41884044906973,,1611,2046,159,420,356
0.07640856164546667,-1318.869154734045,,228,1755,150,13,852
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.016132340907002544,-33.525817901665,,289,241,28,129,36
-0.018424986888975096,-51.851255325814236,,250,197,31,103,20
-0.025795941004625393,-12.661601222234294,,117,77,6,8,2
-0.006832672469297081,-33.04602749420737,,533,556,41,205,121
-0.006499544332199236,-25.477987969232622,,212,223,27,110,50
-0.004580770677621496,-31.968127489683518,,1040,1146,96,302,175
-0.9999999,-49.30286640294415,,75,0,0,0,0
-0.01684088890092976,-21.244515235753365,,108,88,11,34,7
-0.00845588319832112,-22.346252875681564,,727,730,59,147,71
-0.008838264672402577,-57.4051991707516,,391,389,54,359,153
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.06879790622069266,-2835.9042529786434,,654,4194,247,9,1236
-0.0203338750048008,-29.048132979813115,,250,188,20,66,12
-0.019259888531989847,-10.169525139567245,,18,13,1,5,1
-0.007331032122650278,-20.976439444964512,,435,448,43,148,63
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.004894822612256553,-42.10723205995522,,585,639,82,384,174
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.09445820398607162,-5948.075698438627,,557,6612,571,32,5300
-0.03952826074328597,-5.586323724071398,,1,0,0,0,0
-0.012702903791247309,-30.135802742538832,,269,243,10,30,17
-0.005150541625261053,-63.067409041436086,,230,250,52,365,165
-0.03795816677625283,-65.56010615665365,,120,59,11,44,2
-0.023500264916833904,-37.939285177786516,,231,161,20,72,11
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.015375957921755192,-19.760974191031412,,315,267,25,50,11
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.0182333856715183,-64.82612580903476,,520,412,52,252,62
-0.028701662809616398,-96.3194988523262,,444,274,39,146,14
-0.014757641209108083,-38.67206463867274,,368,317,28,207,79
0.015212732743626587,-96.25586027443617,,835,1479,122,511,558
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.021916058147344035,-46.076454958042966,,270,196,26,99,17
-0.00866484259590265,-35.139653988135045,,309,308,41,155,58
-0.007689561764496007,-36.89204513297431,,555,567,67,311,125
-0.9999999,-86.07867181761574,,165,0,0,0,0
0.03593911755030004,-52.23009150734218,,50,145,22,1,16
-0.006641445101117449,-26.599131584247676,,864,906,66,214,117
-0.01605563965922123,-34.971988767888625,,306,256,28,128,39
-0.002944889554807508,-30.007583015251015,,1100,1260,126,421,219
0.06293233039855002,-1413.4369416594716,,401,2233,139,7,579
-0.0210975041839083,-26.853162250111424,,245,181,17,71,16
0.041133143458488765,-222.79984600268742,,186,614,52,2,64
0.07846303920913379,-251.95753416440195,,49,396,18,15,272
-0.002244828842824562,-30.788157873932565,,547,637,44,132,102
-0.022289645792331073,-15.189201252758531,,17,12,1,4,0
-0.016336099277548036,-19.27057675625438,,329,273,16,61,27
-0.010148927714142483,-50.3791540340286,,405,390,58,211,67
-0.013214303508615455,-23.689724230051652,,132,118,16,52,14
-0.9999999,-318.4996455748895,,290,0,0,0,0
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.014573283106262578,-35.73972163449643,,440,381,43,145,39
0.0014656161222370801,-30.285752503166588,,635,809,77,256,178
-0.018863970885666995,-20.68091255438456,,252,197,18,41,7
-0.002306555429476668,-40.76264914508613,,762,886,82,365,227
-0.05243746001607123,-27.531731031888192,,34,11,2,5,0
-0.9999999,-105.67167597552535,,41,0,0,0,0
0.057570537972444075,-1483.190971458334,,549,2689,199,5,512
0.0019968477074126254,-61.3417263504887,,1197,1544,111,414,326
0.06293343970766371,-1519.2695638253413,,682,3799,277,72,1115
-0.012552934252337118,-21.907925035348647,,649,590,45,154,61
0.003153318628266794,-51.64338076815565,,396,525,77,679,429
0.06161579321879729,-719.3542434675219,,235,1268,113,6,322
0.0014354863305326036,-28.28711777092462,,350,445,54,312,185
-0.010942334455953757,-20.641448589445485,,155,146,17,62,21
-0.01937313981511786,-16.74174791287844,,882,681,41,66,21
-0.016052405359357036,-60.43536391997,,848,709,71,307,75
-0.01765767995363066,-12.660092697375362,,39,31,3,6,2
-0.022050758973941136,-34.767552955072745,,131,94,15,43,5
-0.017912343042016807,-68.00573828295533,,323,258,41,184,44
-0.0016461559651103222,-5.124172162156405,,1,1,0,0,0
0.004973241359182259,-106.83548979109138,,192,266,8,0,10
0.0002875809562034506,-34.5133162171314,,792,981,79,296,201
-0.011021809319445863,-31.027744711204967,,333,314,36,157,57
0.06306898385398667,-2011.7646794390764,,578,3230,188,7,776
0.03588491389871314,-320.2098618846985,,498,1449,82,118,315
0.07109035918503515,-2380.760555528381,,454,3076,152,10,1140
-0.001848810669267278,-38.10480096933412,,810,953,68,164,135
0.004468048228433296,-81.15240611968574,,819,1121,66,401,372
0.046849804663747406,-1239.2966980534904,,651,2465,194,3,314
0.002284159285178863,-19.519675253725378,,24,31,0,0,1
0.033940867880141556,-718.8664737686457,,468,1300,42,1,127
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.010192254185320755,-30.216949775233793,,952,916,56,159,94
-0.00501977014304493,-34.96598379436564,,931,1015,80,212,137
0.007672130300774676,-19.836023513049508,,36,53,5,25,20
-0.015028728662196088,-80.3840473504398,,573,491,69,347,103
0.023887250460966136,-286.2518530420658,,204,445,4,1,40
0.001871539406689447,-86.15055098863377,,962,1237,76,304,317
0.008124508028924927,-57.00526711737376,,845,1263,108,499,441
0.0013775614236265091,-60.74549582381225,,176,223,9,0,5
-0.03156932513492196,-86.85483158727853,,166,95,21,70,5
0.030978997405017934,-713.8041965442844,,439,1135,24,1,113
-0.00041534681342117897,-37.57563535660762,,1208,1471,128,486,295
0.019915714308620578,-127.25956088597906,,435,863,55,82,124
-0.0012052293824675684,-54.275190819694316,,1282,1532,112,405,304
0.00609400708032982,-48.83303209570351,,915,1302,138,683,522
0.001228856803735196,-49.05203075881616,,962,1218,92,347,276
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.06909264703415716,-1531.79941889619,,385,2486,147,9,758
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.007099642411297634,-23.862136806426662,,304,315,39,80,24
0.10920287760544946,-14374.564398224291,,505,8540,673,66,17575
