Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4
-0.013281224498000687,-47.162354395628405,,502,448,58,189,49
0.006919677156226757,-82.05259672776586,,1044,1516,111,407,423
0.006329813213542657,-93.74875640967494,,1349,1931,142,586,508
0.00690775322965399,-55.871648936686455,,1153,1674,199,696,539
-0.00027133577524666476,-32.44088009376363,,818,999,81,177,124
0.04735567646143083,-1243.1042771528246,,618,2368,153,3,318
0.049583724480135705,-382.82937492268235,,180,727,40,3,128
-0.020807371652956052,-113.73757792262909,,387,288,53,277,62
0.09033004322477796,-2534.0213158304223,,286,3075,209,26,2327
0.013870280590240484,-78.8973919413141,,117,200,7,0,10
0.0315689555862916,-50.02092386641949,,32,83,6,1,12
-0.002189680125276463,-33.3300835449652,,1303,1520,129,291,187
-0.0010083776342658668,-37.76383953938633,,530,636,69,308,189
0.04989896353001022,-2154.6244824978494,,844,3438,197,3,541
0.05484397441598462,-1182.9552261641206,,511,2344,208,4,392
-0.004540293250099128,-28.906356891290145,,715,788,70,266,147
-0.005290402021796438,-43.758158356504964,,1097,1188,74,221,153
-0.0068697661576328185,-19.516592385504946,,510,532,49,68,27
0.0003941399650961878,-33.65494550280086,,842,1045,101,333,219
-0.058171879499658456,-19.367923399710662,,1416,431,8,2,0
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.004074360234047691,-31.81111114644081,,1044,1164,102,257,150
0.003004383139599771,-160.04035356921023,,1995,2637,162,313,420
-0.007804621166810521,-70.17835611814198,,864,881,123,481,179
-0.00986458288639269,-20.47860969653592,,974,945,78,160,63
0.043458303323802266,-496.0468435254661,,325,1134,77,2,132
-0.002944039988296977,-27.117808673723125,,542,621,60,100,60
-0.01587214301673241,-42.75474120665399,,277,232,33,111,24
-0.010809548984331414,-50.00505855117613,,447,424,57,257,91
0.0013496416124376487,-32.775667558982114,,513,651,67,420,263
-0.008160944049934461,-32.33345756149211,,484,489,58,223,83
0.004557089575908582,-40.241708638420526,,97,133,5,0,4
-0.006243515277391053,-56.54745480219944,,956,1012,55,216,171
-0.03783154614548562,-18.542840758908987,,106,52,1,5,1
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.05637485699652374,-443.0975669835609,,315,1499,142,158,699
-0.005904269593580053,-43.63971462975339,,719,767,42,124,105
-0.013152310663107443,-86.64283451162098,,604,541,13,18,18
-0.0028662267353293394,-34.14452027826323,,1168,1341,106,239,162
-0.006764029460475253,-21.54278658451933,,519,542,45,119,63
