796,656,42,762,401
1042,968,175,964,375
139,265,7,101,14
383,397,0,360,94
11,12,0,5,2
391,522,0,686,251
130,333,77,96,12
216,156,27,22,5
0,0,0,0,0
476,706,147,689,241
791,731,81,418,207
714,726,65,262,36
0,0,0,0,0
24,57,15,4,2
365,565,77,429,180
547,587,70,457,117
358,467,84,136,16
100,132,0,114,16
356,301,0,350,90
147,235,0,161,34
551,379,0,329,228
289,530,42,183,21
327,481,68,230,60
241,410,62,54,1
314,425,50,257,148
68,84,7,15,3
248,264,48,148,20
144,218,33,56,10
400,681,97,120,23
145,102,16,21,8
341,504,85,250,39
717,452,0,420,258
787,1023,91,555,486
325,455,71,179,30
635,843,151,338,154
0,1,0,0,0
49,26,3,15,1
446,632,107,376,125
189,166,0,76,19
425,652,97,444,214
191,376,67,97,16
0,0,0,0,0
562,672,0,1028,288
214,40,5,1,0
635,845,120,647,225
1933,1836,155,788,332
562,489,0,331,310
1159,1336,136,2719,1579
663,402,0,318,234
279,357,36,143,21
108,45,1,1,0
542,409,60,240,39
729,427,0,465,207
485,687,94,186,24
898,912,135,872,191
536,974,216,942,390
837,1001,81,490,148
720,522,53,179,79
0,3,4,0,0
702,536,97,450,230
763,610,74,421,208
345,349,58,167,34
776,1317,203,1663,704
0,0,0,0,0
1271,1494,177,1147,275
780,1093,184,4086,2671
1088,1222,137,619,162
160,207,37,39,5
167,329,68,13,1
321,546,75,246,63
481,722,132,669,179
556,686,98,559,162
497,766,104,221,52
427,717,103,242,22
447,408,83,146,43
1414,1656,232,672,220
403,367,61,95,37
2618,2721,544,1929,1398
827,1033,157,1987,788
319,645,116,439,62
414,367,0,403,127
303,340,53,132,38
428,640,80,180,38
531,587,92,326,76
708,558,26,316,193
398,560,75,102,21
254,72,6,4,1
386,157,0,4,1
540,445,36,303,130
225,241,26,98,28
889,1312,220,1714,1181
751,558,78,410,209
439,282,29,152,37
305,441,81,295,79
513,379,34,332,140
808,715,77,744,364
689,639,77,327,125
638,461,48,502,301
405,707,148,199,15
518,355,3,450,256
410,600,99,159,17
180,126,9,32,4
290,213,22,449,135
839,818,70,247,123
264,338,63,90,15
641,460,34,270,103
766,972,184,2837,1172
438,611,91,379,139
804,520,45,231,68
675,824,100,1441,870
1247,1423,160,879,191
593,344,5,362,294
838,843,58,222,140
53,91,16,53,11
305,211,0,179,46
237,551,87,14,1
294,203,0,137,50
458,736,136,317,58
9,2,0,6,0
342,562,92,137,24
152,518,69,9,4
558,838,117,288,41
0,0,0,0,0
174,212,24,22,1
433,698,109,279,42
457,322,52,52,20
277,157,16,8,1
753,1181,126,1471,496
215,602,136,28,4
957,894,84,847,236
357,684,84,37,9
779,277,13,6,1
403,518,109,217,37
11,1,0,1,0
43,38,20,9,10
279,327,58,59,6
0,0,0,0,0
1135,1289,198,612,219
98,228,41,31,3
689,844,116,757,349
746,1003,112,118,10
547,1030,187,122,8
99,56,6,8,1
312,476,67,53,3
323,464,150,315,62
325,292,30,136,46
917,929,83,421,220
759,737,51,432,247
322,493,98,87,4
20,26,18,3,0
789,973,126,496,263
773,635,93,333,168
349,164,0,277,141
368,629,109,440,109
769,1343,173,566,96
671,192,6,15,3
1263,970,117,900,483
332,403,70,115,17
0,0,0,0,0
636,841,95,726,300
399,453,71,340,132
1033,956,71,550,378
475,210,0,125,86
785,1373,157,1528,625
584,900,97,233,52
0,1,0,0,0
372,544,59,128,15
666,643,79,379,163
310,124,24,133,16
604,886,93,730,236
